49 Taranaki-King Country,Total Party Votes,"MOORE, Robert (Green Party)","BARKER, Rick (Labour Party)","ARDERN, Shane (National Party)","ROGERS, Victoria (United Future)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    461,  2.60,  6.51, 82.65,  3.90,  3.47,  0.87,100.00 
Alliance,     24, 29.17, 16.67, 41.67,  4.17,  8.33,  0.00,100.00 
Aotearoa Legalise Cannabis Party,    181, 41.99, 15.47, 28.73,  3.31,  4.97,  5.52,100.00 
Conservative Party,   1180,  6.36,  9.15, 68.98,  8.73,  6.36,  0.42,100.00 
Democrats for Social Credit,     25, 20.00, 24.00, 36.00,  8.00, 12.00,  0.00,100.00 
Green Party,   2554, 55.13, 23.34, 18.05,  0.51,  1.76,  1.21,100.00 
Labour Party,   4950,  9.84, 77.70,  6.32,  0.42,  3.60,  2.12,100.00 
Libertarianz,     20, 10.00, 10.00, 65.00,  5.00, 10.00,  0.00,100.00 
Mana,     83, 33.73, 27.71, 13.25,  2.41, 13.25,  9.64,100.00 
Māori Party,    209, 19.14, 19.62, 48.80,  3.83,  2.39,  6.22,100.00 
National Party,  18759,  1.90,  0.53, 94.33,  0.56,  2.05,  0.63,100.00 
New Zealand First Party,   2252, 13.23, 40.45, 30.15,  5.24,  9.95,  0.98,100.00 
United Future,    340,  4.41,  5.29, 56.18, 33.24,  0.59,  0.29,100.00 
Informal Party Votes,    251,  3.98, 15.94, 44.22,  0.00, 35.46,  0.40,100.00 
Total Party Votes and Percentages,  31289,  9.01, 18.39, 66.61,  1.63,  3.34,  1.02,100.00 
