39 Palmerston North,Total Party Votes,"PEARCE, Mark (Conservative)","FARVID, Pani (Internet MANA)","LEES-GALLOWAY, Iain (Labour Party)","NAYLOR, Jono (National Party)","BALL, Darroch (New Zealand First Party)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    175,  3.43,  0.57, 26.29, 64.00,  4.57,  0.57,  0.57,100.00 
Aotearoa Legalise Cannabis Party,    123,  4.88,  9.76, 47.15, 21.95,  9.76,  2.44,  4.07,100.00 
Ban1080,     30, 10.00,  6.67, 23.33, 36.67, 20.00,  0.00,  3.33,100.00 
Conservative,   1549, 23.31,  0.00, 18.59, 55.71,  1.36,  0.26,  0.77,100.00 
Democrats for Social Credit,     10, 20.00,  0.00, 40.00, 20.00, 20.00,  0.00,  0.00,100.00 
Focus New Zealand,      7,  0.00,  0.00, 57.14,  0.00, 28.57, 14.29,  0.00,100.00 
Green Party,   3390,  1.33,  2.21, 81.50, 10.00,  2.15,  1.00,  1.80,100.00 
Internet MANA,    330,  0.91, 30.61, 60.00,  4.24,  1.82,  0.00,  2.42,100.00 
Labour Party,  10632,  0.42,  0.26, 93.18,  2.85,  1.05,  0.59,  1.64,100.00 
Māori Party,    166,  2.41,  1.20, 53.01, 32.53,  6.63,  0.60,  3.61,100.00 
National Party,  14835,  1.13,  0.10, 12.46, 83.71,  1.07,  0.56,  0.97,100.00 
New Zealand First Party,   2973,  1.31,  0.34, 53.65, 15.88, 26.71,  0.67,  1.45,100.00 
NZ Independent Coalition,     10,  0.00,  0.00, 60.00, 10.00, 30.00,  0.00,  0.00,100.00 
The Civilian Party,     24, 12.50,  8.33, 41.67, 20.83, 12.50,  4.17,  0.00,100.00 
United Future,     80,  3.75,  1.25, 40.00, 47.50,  3.75,  2.50,  1.25,100.00 
Informal Party Votes,     93,  1.08,  1.08, 33.33, 15.05,  2.15, 47.31,  0.00,100.00 
Total Party Votes and Percentages,  34427,  2.00,  0.73, 49.05, 42.62,  3.54,  0.75,  1.32,100.00 
