66 Tāmaki Makaurau,Total Party Votes,"CURTIS, Mikaere (Green Party)","JONES, Shane (Labour Party)","PENE, Kereama (Mana)","SHARPLES, Pita (Māori Party)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,     28,  3.57, 17.86,  7.14, 53.57, 14.29,  3.57,100.00 
Alliance,      2,  0.00,  0.00,  0.00,  0.00,100.00,  0.00,100.00 
Aotearoa Legalise Cannabis Party,    197, 27.41, 24.87,  9.64, 26.40,  5.58,  6.09,100.00 
Conservative Party,     94,  7.45, 22.34,  9.57, 48.94,  9.57,  2.13,100.00 
Democrats for Social Credit,      2,  0.00, 50.00,  0.00, 50.00,  0.00,  0.00,100.00 
Green Party,   1810, 30.11, 20.77,  7.35, 39.12,  0.66,  1.99,100.00 
Labour Party,   7739,  5.66, 56.05,  9.21, 22.95,  2.25,  3.88,100.00 
Libertarianz,      4,  0.00, 25.00,  0.00, 50.00, 25.00,  0.00,100.00 
Mana,   2551,  3.10, 12.15, 60.84, 17.17,  3.10,  3.65,100.00 
Māori Party,   2694,  1.00,  5.64,  2.82, 85.37,  2.08,  3.08,100.00 
National Party,   1569, 11.28,  9.43,  3.19, 67.81,  4.97,  3.31,100.00 
New Zealand First Party,   1948,  7.91, 36.50, 12.73, 34.65,  6.06,  2.16,100.00 
United Future,     10, 20.00, 20.00, 10.00, 50.00,  0.00,  0.00,100.00 
Informal Party Votes,    327,  2.14, 21.41,  7.34, 11.62, 52.91,  4.59,100.00 
Total Party Votes and Percentages,  18975,  7.86, 32.59, 14.90, 37.52,  3.78,  3.35,100.00 
