47 Selwyn,Total Party Votes,"WATSON, Ivor (ACT New Zealand)","DENNIS, Samuel (Family Party)","MAIN, Philippa (Jim Anderton's Progressive)","WILLIAMSON, Eleanor (Kiwi Party)","COATES, David (Labour Party)","ADAMS, Amy (National Party)","NORMAN, Victoria (United Future)","WOODS, Bill (Independent)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,   1350, 11.41,  1.41,  0.81,  0.15,  2.22, 81.19,  0.22,  1.48,  0.59,  0.52,100.00 
Alliance,     17,  0.00,  5.88, 23.53,  5.88, 41.18,  0.00,  0.00, 17.65,  5.88,  0.00,100.00 
Aotearoa Legalise Cannabis Party,     97,  4.12,  3.09,  6.19,  3.09, 31.96, 28.87,  1.03, 16.49,  1.03,  4.12,100.00 
Democrats for Social Credit,      7, 14.29, 28.57, 28.57,  0.00, 14.29,  0.00,  0.00, 14.29,  0.00,  0.00,100.00 
Family Party,    141,  0.00, 68.79,  0.71,  2.13,  6.38, 18.44,  0.71,  2.13,  0.00,  0.71,100.00 
Green Party,   2761,  0.94,  1.45,  8.08,  1.12, 62.73, 16.52,  0.98,  3.08,  4.06,  1.05,100.00 
Jim Anderton's Progressive,    672,  0.60,  1.19, 45.83,  0.74, 30.51, 16.07,  0.89,  2.53,  0.89,  0.74,100.00 
Kiwi Party,    191,  0.52,  4.71,  0.52, 51.31,  8.38, 30.37,  0.00,  2.09,  1.05,  1.05,100.00 
Labour Party,   9395,  0.33,  1.17,  4.80,  0.40, 84.89,  4.58,  0.34,  1.52,  0.86,  1.11,100.00 
Libertarianz,      8, 50.00, 12.50,  0.00, 12.50,  0.00, 12.50, 12.50,  0.00,  0.00,  0.00,100.00 
Maori Party,    151,  1.99,  1.99,  9.93,  1.99, 33.77, 37.09,  3.31,  5.30,  1.32,  3.31,100.00 
National Party,  20141,  1.42,  0.71,  0.85,  0.38,  0.76, 93.62,  0.36,  0.77,  0.33,  0.78,100.00 
New Zealand First Party,   1115,  1.26,  2.96,  8.34,  1.61, 40.72, 31.48,  0.72,  9.42,  2.87,  0.63,100.00 
New Zealand Pacific Party,      2,  0.00,  0.00,  0.00, 50.00, 50.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
RAM - Residents Action Movement,      3,  0.00,  0.00,  0.00,  0.00, 66.67,  0.00,  0.00, 33.33,  0.00,  0.00,100.00 
The Bill and Ben Party,    201,  3.48,  3.98,  8.46,  2.99, 19.40, 44.28,  0.50, 13.43,  1.99,  1.49,100.00 
The Republic of New Zealand Party,      1,  0.00,  0.00,  0.00,  0.00,  0.00,100.00,  0.00,  0.00,  0.00,  0.00,100.00 
United Future,    421,  0.48,  3.33,  2.14,  1.90,  5.94, 59.14, 22.57,  2.61,  1.43,  0.48,100.00 
Workers Party,      5,  0.00,  0.00, 20.00, 20.00, 20.00, 20.00,  0.00, 20.00,  0.00,  0.00,100.00 
Informal Party Votes,    155,  1.29,  0.65,  1.94,  0.00, 18.06, 18.71,  0.00,  1.94, 56.13,  1.29,100.00 
Total Party Votes and Percentages,  36834,  1.46,  1.34,  3.57,  0.80, 29.21, 59.28,  0.69,  1.64,  1.11,  0.89,100.00 
