16 Hunua,Total Party Votes,"CUMMINGS, Ian (ACT New Zealand)","HUDSON, Neville (Conservative)","MITCHELL, Huia (Democrats for Social Credit)","WILLIAMS, Arena (Labour Party)","PHILLIPS, Thomas T T (Māori Party)","BAYLY, Andrew (National Party)","REEVES, Jon (New Zealand First Party)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    313, 35.14,  1.60,  0.00,  5.11,  0.00, 52.72,  1.92,  1.92,  1.60,100.00 
Aotearoa Legalise Cannabis Party,    136,  4.41,  5.15,  1.47, 27.21,  5.88, 33.82, 15.44,  2.94,  3.68,100.00 
Ban1080,     46,  2.17, 10.87,  4.35, 13.04,  4.35, 32.61, 30.43,  0.00,  2.17,100.00 
Conservative,   1807,  1.66, 46.54,  0.22,  3.82,  0.17, 41.95,  3.71,  0.83,  1.11,100.00 
Democrats for Social Credit,     19,  0.00,  5.26, 63.16,  0.00,  0.00, 21.05, 10.53,  0.00,  0.00,100.00 
Focus New Zealand,      4, 50.00,  0.00, 25.00,  0.00,  0.00,  0.00,  0.00, 25.00,  0.00,100.00 
Green Party,   2076,  1.01,  3.23,  1.06, 58.29,  3.03, 20.33,  8.86,  1.78,  2.41,100.00 
Internet MANA,    166,  3.01,  3.01,  3.61, 45.18,  7.23,  9.04, 16.87,  4.22,  7.83,100.00 
Labour Party,   4699,  0.45,  0.98,  0.23, 83.08,  0.94,  4.13,  5.36,  0.89,  3.94,100.00 
Māori Party,    144,  2.08,  1.39,  0.00, 22.22, 29.17, 34.72,  2.78,  1.39,  6.25,100.00 
National Party,  22929,  0.86,  1.52,  0.06,  1.29,  0.17, 92.56,  1.73,  0.53,  1.28,100.00 
New Zealand First Party,   3437,  0.73,  2.73,  0.52, 16.56,  0.79, 19.17, 55.72,  1.37,  2.41,100.00 
NZ Independent Coalition,      4,  0.00, 25.00, 25.00,  0.00,  0.00, 50.00,  0.00,  0.00,  0.00,100.00 
The Civilian Party,     14,  0.00,  7.14, 14.29, 35.71,  0.00, 28.57, 14.29,  0.00,  0.00,100.00 
United Future,     82,  3.66,  3.66,  2.44, 17.07,  3.66, 59.76,  7.32,  1.22,  1.22,100.00 
Informal Party Votes,    117,  0.85,  5.13,  0.00, 11.11,  0.00, 11.97,  2.56, 65.81,  2.56,100.00 
Total Party Votes and Percentages,  35993,  1.18,  3.98,  0.27, 17.35,  0.68, 65.63,  8.06,  1.00,  1.86,100.00 
