01 Auckland Central,Total Party Votes,"KOVALENKO, Dasha (ACT New Zealand)","WHITMORE, Peter (Climate Party)","MONAHAN, Regan (Conservative)","ROCHE, Denise (Green Party)","PIERARD, Miriam (Internet MANA)","ARDERN, Jacinda (Labour Party)","OSMASTON, Jordan (Money Free Party)","KAYE, Nikki (National Party)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    329, 25.84,  0.00,  0.30,  1.22,  0.61,  8.81,  0.00, 59.88,  1.22,  2.13,100.00 
Aotearoa Legalise Cannabis Party,     85,  4.71,  2.35,  1.18, 21.18,  9.41, 37.65,  1.18, 17.65,  0.00,  4.71,100.00 
Ban1080,     10,  0.00,  0.00,  0.00, 10.00, 20.00, 20.00, 10.00, 40.00,  0.00,  0.00,100.00 
Conservative,    486,  1.65,  0.21, 26.34,  2.47,  0.62,  9.88,  0.21, 55.76,  0.62,  2.26,100.00 
Democrats for Social Credit,      3,  0.00,  0.00,  0.00,  0.00,  0.00, 66.67,  0.00,  0.00, 33.33,  0.00,100.00 
Focus New Zealand,      2,  0.00, 50.00,  0.00, 50.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
Green Party,   6242,  0.08,  0.32,  0.03, 20.19,  1.14, 68.70,  0.05,  6.04,  0.24,  3.22,100.00 
Internet MANA,    553,  0.36,  0.54,  0.00,  9.95, 23.33, 56.60,  0.54,  2.53,  0.18,  5.97,100.00 
Labour Party,   6101,  0.23,  0.05,  0.13,  5.31,  0.34, 87.87,  0.02,  2.80,  0.49,  2.75,100.00 
Māori Party,    158,  1.27,  0.63,  1.90,  7.59,  0.63, 51.90,  0.00, 29.11,  1.90,  5.06,100.00 
National Party,  12652,  0.49,  0.06,  0.52,  1.85,  0.06,  7.22,  0.02, 86.78,  0.43,  2.58,100.00 
New Zealand First Party,   1459,  0.41,  0.55,  3.08,  9.87,  1.44, 53.19,  0.41, 25.98,  2.54,  2.54,100.00 
NZ Independent Coalition,      7,  0.00,  0.00,  0.00, 28.57,  0.00, 14.29,  0.00, 14.29, 28.57, 14.29,100.00 
The Civilian Party,     17, 11.76,  5.88,  0.00, 17.65,  5.88, 41.18,  0.00, 17.65,  0.00,  0.00,100.00 
United Future,     53,  3.77,  0.00,  1.89, 15.09,  5.66, 28.30,  0.00, 39.62,  5.66,  0.00,100.00 
Informal Party Votes,     99,  1.01,  2.02,  3.03,  2.02,  0.00, 25.25,  1.01, 16.16, 42.42,  7.07,100.00 
Total Party Votes and Percentages,  28256,  0.68,  0.18,  0.91,  7.36,  0.96, 42.09,  0.07, 44.22,  0.69,  2.84,100.00 
