64 Hauraki-Waikato,Total Party Votes,"MAHUTA, Nanaia (Labour Party)","GREENSILL, Angeline (Mana)","MATAKI, Tau Bruce (Māori Party)","KARAMAENE, Te Ariki (Nga Iwi)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,     37, 45.95,  8.11, 21.62,  8.11, 16.22,  0.00,100.00 
Alliance,      2, 50.00, 50.00,  0.00,  0.00,  0.00,  0.00,100.00 
Aotearoa Legalise Cannabis Party,    258, 44.19, 15.50, 21.71,  7.36,  5.81,  5.43,100.00 
Conservative Party,     76, 38.16, 13.16, 26.32,  6.58,  9.21,  6.58,100.00 
Democrats for Social Credit,      2, 50.00, 50.00,  0.00,  0.00,  0.00,  0.00,100.00 
Green Party,   1634, 50.92, 28.21, 14.01,  1.59,  3.18,  2.08,100.00 
Labour Party,   8250, 76.85, 10.70,  5.33,  0.34,  3.92,  2.86,100.00 
Libertarianz,      8, 12.50, 12.50, 25.00, 12.50, 12.50, 25.00,100.00 
Mana,   2007, 14.25, 74.64,  3.24,  0.65,  2.89,  4.33,100.00 
Māori Party,   2337, 30.68, 13.86, 48.27,  0.86,  3.59,  2.74,100.00 
National Party,   1491, 25.62, 12.34, 41.25,  5.03, 12.27,  3.49,100.00 
New Zealand First Party,   1758, 49.43, 20.08, 17.06,  2.45,  9.10,  1.88,100.00 
United Future,     33, 30.30, 12.12, 36.36,  9.09,  9.09,  3.03,100.00 
Informal Party Votes,    436, 34.86, 12.16,  5.50,  0.46, 42.66,  4.36,100.00 
Total Party Votes and Percentages,  18329, 53.20, 20.82, 15.82,  1.30,  5.88,  2.98,100.00 
