03 Botany,Total Party Votes,"YOUNG, Paul (Conservative)","MAMEDOV, Tofik (Labour Party)","ROSS, Jami-Lee (National Party)","MCCORMICK, David John (Independent)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    808, 35.02,  5.94, 50.00,  2.10,  5.45,  1.49,100.00 
Aotearoa Legalise Cannabis Party,     90, 13.33, 24.44, 40.00, 11.11,  5.56,  5.56,100.00 
Ban1080,     12, 16.67,  8.33, 41.67,  0.00, 16.67, 16.67,100.00 
Conservative,   1519, 56.22,  2.11, 39.04,  0.72,  0.92,  0.99,100.00 
Democrats for Social Credit,      5, 20.00, 20.00,  0.00, 60.00,  0.00,  0.00,100.00 
Focus New Zealand,      6, 33.33, 16.67,  0.00, 16.67, 33.33,  0.00,100.00 
Green Party,   1461,  9.45, 45.79, 30.73,  7.53,  4.11,  2.40,100.00 
Internet MANA,    204, 12.25, 45.10, 17.16, 14.71,  2.94,  7.84,100.00 
Labour Party,   7473,  3.56, 77.69, 10.13,  2.26,  2.07,  4.28,100.00 
Māori Party,     71,  5.63, 26.76, 47.89,  5.63,  4.23,  9.86,100.00 
National Party,  20016,  6.18,  1.01, 89.69,  0.70,  1.08,  1.34,100.00 
New Zealand First Party,   1825, 11.62, 34.52, 39.45,  8.55,  3.67,  2.19,100.00 
NZ Independent Coalition,      9, 11.11, 11.11, 33.33, 44.44,  0.00,  0.00,100.00 
The Civilian Party,      8, 12.50, 25.00, 25.00, 37.50,  0.00,  0.00,100.00 
United Future,     49, 18.37, 10.20, 59.18, 10.20,  2.04,  0.00,100.00 
Informal Party Votes,    128,  5.47, 14.06, 19.53,  3.13, 56.25,  1.56,100.00 
Total Party Votes and Percentages,  33684,  9.06, 22.41, 62.47,  1.98,  1.92,  2.14,100.00 
