46 Rodney,"BROWN, Christopher (ACT New Zealand)","PUNTER, Colin (Direct Democracy Party)","EVANS, Graham (Green Party)","SHARROCK, Tony (Jim Anderton's Progressive)","DUNLOP, Tony (Labour Party)","DICK, Adell M (Mâori Party)","SMITH, Lockwood (National Party)","McNAIR, Craig (New Zealand First Party)","MOUNTAIN, Peter (United Future New Zealand)",Informal Candidate Votes,Party Vote Only,Total % 
 99 MP Party,  0.00,  0.00, 16.67,  0.00,  0.00,  0.00, 83.33,  0.00,  0.00,  0.00,  0.00,100.00 
ACT New Zealand, 16.52,  0.00,  1.03,  0.29,  2.06,  0.29, 75.07,  2.95,  1.47,  0.00,  0.29,100.00 
Alliance,  0.00,  5.56,  5.56, 16.67, 44.44,  0.00, 11.11,  5.56, 11.11,  0.00,  0.00,100.00 
Aotearoa Legalise Cannabis Party,  0.00,  5.17, 36.21,  0.00, 24.14,  0.00, 20.69,  8.62,  1.72,  0.00,  3.45,100.00 
Christian Heritage NZ,  2.78,  0.00,  2.78,  0.00,  2.78,  0.00, 33.33, 25.00, 27.78,  5.56,  0.00,100.00 
Democrats for Social Credit,  0.00,  0.00,  6.67, 20.00, 13.33,  6.67, 33.33,  6.67, 13.33,  0.00,  0.00,100.00 
Destiny New Zealand,  0.00,  0.42,  0.84,  0.84,  2.10,  2.10, 32.35, 41.18, 13.87,  3.36,  2.94,100.00 
Direct Democracy Party,  0.00, 50.00, 12.50,  0.00,  0.00,  0.00, 12.50, 25.00,  0.00,  0.00,  0.00,100.00 
Green Party,  0.18,  0.12, 38.57,  0.74, 47.64,  0.80,  8.03,  1.53,  1.04,  0.37,  0.98,100.00 
Jim Anderton's Progressive,  0.00,  0.63,  4.39, 30.72, 41.38,  0.63, 14.42,  5.33,  1.57,  0.00,  0.94,100.00 
Labour Party,  0.46,  0.03,  9.38,  1.50, 72.62,  0.63,  8.55,  4.12,  1.01,  0.68,  1.01,100.00 
Libertarianz,  0.00, 14.29,  0.00,  0.00, 14.29,  0.00, 42.86,  0.00,  0.00,  0.00, 28.57,100.00 
Mâori Party,  0.00,  0.00, 11.21,  0.00, 16.82, 40.19, 15.89,  0.93,  2.80,  0.93, 11.21,100.00 
National Party,  1.37,  0.06,  0.93,  0.20,  0.82,  0.12, 88.26,  5.20,  2.07,  0.33,  0.65,100.00 
New Zealand Family Rights Protection Party,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 75.00, 12.50,  0.00, 12.50,  0.00,100.00 
New Zealand First Party,  0.30,  0.16,  1.38,  0.39,  9.08,  0.36, 31.33, 54.52,  1.12,  0.46,  0.89,100.00 
OneNZ Party,  0.00,  0.00, 12.50,  0.00, 12.50,  0.00, 37.50, 37.50,  0.00,  0.00,  0.00,100.00 
The Republic of New Zealand Party,  0.00,  0.00, 33.33,  0.00,  0.00,  0.00, 33.33, 16.67, 16.67,  0.00,  0.00,100.00 
United Future New Zealand,  0.52,  0.17,  1.38,  0.34,  7.92,  0.00, 41.48, 16.27, 31.33,  0.34,  0.26,100.00 
Informal Party Votes,  0.00,  0.00,  2.02,  0.00, 13.13,  0.00, 17.17,  5.05,  0.00, 62.63,  0.00,100.00 
Overall Percentage,  1.19,  0.10,  5.09,  0.88, 24.18,  0.44, 54.77,  9.27,  2.64,  0.62,  0.82,100.00 
