63 Whangarei,Total Party Votes,"GRIEVE, Robin (ACT New Zealand)","NIGHTINGALE, Don (Conservative)","LEITCH, Chris (Democrats for Social Credit)","KING, Les (Focus New Zealand)","DOHERTY, Paul (Green Party)","CURRIN, David (Internet MANA)","ELLIS, Kelly (Labour Party)","KAIPO, Anaru (Māori Party)","RETI, Shane (National Party)","PARAONE, Pita (New Zealand First Party)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    205, 36.59,  1.95,  1.95,  0.98,  0.00,  0.00,  5.85,  0.49, 47.32,  2.44,  1.46,  0.98,100.00 
Aotearoa Legalise Cannabis Party,    183,  0.55,  3.28,  4.37,  1.64, 31.15,  7.10, 16.39,  3.28, 22.40,  5.46,  3.28,  1.09,100.00 
Ban1080,     38,  2.63,  0.00,  7.89,  0.00, 18.42, 10.53,  5.26,  0.00, 28.95, 23.68,  0.00,  2.63,100.00 
Conservative,   1925,  0.68, 31.84,  6.34,  0.57,  1.56,  0.05,  3.53,  0.10, 51.22,  2.96,  0.88,  0.26,100.00 
Democrats for Social Credit,    116,  0.00,  0.86, 78.45,  0.00,  1.72,  0.00,  5.17,  0.00, 12.07,  0.00,  0.00,  1.72,100.00 
Focus New Zealand,     34,  2.94,  0.00,  2.94, 47.06,  0.00,  0.00, 14.71,  2.94, 20.59,  2.94,  0.00,  5.88,100.00 
Green Party,   3611,  0.25,  0.28,  3.43,  0.42, 49.27,  1.50, 28.14,  1.16, 11.02,  2.08,  0.58,  1.88,100.00 
Internet MANA,    386,  0.52,  0.26,  2.33,  0.52, 13.73, 39.12, 19.95,  5.44,  2.85,  5.96,  2.33,  6.99,100.00 
Labour Party,   6575,  0.46,  0.55,  2.46,  0.23, 10.08,  1.02, 68.71,  1.48,  6.63,  5.41,  0.84,  2.13,100.00 
Māori Party,    196,  0.00,  0.00,  4.08,  0.00,  6.12,  1.02, 16.33, 25.51, 35.71,  5.61,  1.53,  4.08,100.00 
National Party,  18503,  0.69,  1.21,  1.29,  0.19,  1.59,  0.10,  1.39,  0.26, 90.59,  1.53,  0.62,  0.54,100.00 
New Zealand First Party,   4936,  0.47,  1.58,  4.05,  0.63,  4.90,  0.57, 18.09,  0.57, 23.97, 42.65,  1.18,  1.36,100.00 
NZ Independent Coalition,     15,  0.00, 20.00, 20.00,  0.00, 20.00,  0.00,  0.00,  0.00, 33.33,  0.00,  0.00,  6.67,100.00 
The Civilian Party,     16,  0.00,  6.25,  0.00,  6.25, 18.75, 12.50, 12.50,  0.00, 31.25,  6.25,  6.25,  0.00,100.00 
United Future,     93,  1.08,  5.38,  3.23,  2.15, 11.83,  0.00,  7.53,  2.15, 56.99,  4.30,  3.23,  2.15,100.00 
Informal Party Votes,    117,  1.71,  1.71,  1.71,  1.71,  5.98,  0.85, 14.53,  0.85, 27.35,  3.42, 38.46,  1.71,100.00 
Total Party Votes and Percentages,  36949,  0.77,  2.66,  2.65,  0.37,  8.56,  0.92, 18.79,  0.81, 54.43,  7.97,  0.91,  1.16,100.00 
