09 Coromandel,"BASSETT, Ray (ACT New Zealand)","JOHNSTON, Peter Tiki (Destiny New Zealand)","FITZSIMONS, Jeanette (Green Party)","ANDERSON, Annette (Jim Anderton's Progressive)","PURNELL, Max (Labour Party)","GOUDIE, Sandra (National Party)","FOOTE, John (New Zealand First Party)","ROBERTSON, Lee (United Future New Zealand)",Informal Candidate Votes,Party Vote Only,Total % 
 99 MP Party,  0.00,  0.00, 25.00,  0.00, 37.50, 25.00,  0.00,  0.00, 12.50,  0.00,100.00 
ACT New Zealand,  7.36,  0.36,  3.41,  0.18,  2.87, 84.02,  1.08,  0.18,  0.18,  0.36,100.00 
Alliance,  0.00,  0.00, 33.33, 33.33, 16.67, 16.67,  0.00,  0.00,  0.00,  0.00,100.00 
Aotearoa Legalise Cannabis Party,  0.00,  0.00, 60.58,  0.00, 14.42, 15.38,  2.88,  0.00,  0.96,  5.77,100.00 
Christian Heritage NZ,  0.00, 32.00,  0.00,  4.00,  8.00, 36.00,  0.00, 20.00,  0.00,  0.00,100.00 
Democrats for Social Credit,  0.00,  0.00, 58.33,  0.00, 12.50, 20.83,  8.33,  0.00,  0.00,  0.00,100.00 
Destiny New Zealand,  0.00, 60.19,  3.32,  0.00,  3.79, 28.44,  0.95,  1.42,  0.95,  0.95,100.00 
Direct Democracy Party,  0.00,  0.00,  0.00,  0.00,  0.00, 50.00, 50.00,  0.00,  0.00,  0.00,100.00 
Green Party,  0.04,  0.18, 50.94,  0.37, 39.77,  6.89,  0.66,  0.15,  0.15,  0.85,100.00 
Jim Anderton's Progressive,  0.00,  0.00, 15.64, 23.46, 37.15, 19.83,  1.68,  0.84,  1.12,  0.28,100.00 
Labour Party,  0.23,  0.16, 27.75,  1.07, 56.59,  9.74,  2.30,  0.58,  0.67,  0.90,100.00 
Libertarianz,  4.17,  0.00, 29.17,  0.00,  4.17, 45.83, 12.50,  0.00,  4.17,  0.00,100.00 
Mâori Party,  2.42,  5.45, 36.97,  0.61, 29.70,  9.09,  7.27,  1.82,  3.03,  3.64,100.00 
National Party,  0.57,  0.30,  2.60,  0.21,  0.95, 92.28,  1.65,  0.73,  0.30,  0.41,100.00 
New Zealand Family Rights Protection Party,  0.00,  0.00, 42.86,  0.00, 28.57, 14.29,  0.00, 14.29,  0.00,  0.00,100.00 
New Zealand First Party,  0.19,  0.98,  7.29,  0.41, 11.66, 45.29, 32.48,  0.66,  0.49,  0.55,100.00 
OneNZ Party,  0.00,  0.00, 16.67,  0.00, 33.33, 33.33, 16.67,  0.00,  0.00,  0.00,100.00 
The Republic of New Zealand Party,  0.00,  0.00, 22.22,  0.00, 11.11, 33.33, 11.11, 22.22,  0.00,  0.00,100.00 
United Future New Zealand,  0.00,  2.23,  4.69,  0.78,  5.81, 66.48,  1.79, 17.09,  0.56,  0.56,100.00 
Informal Party Votes,  0.75,  0.00,  5.26,  0.75,  8.27,  9.77,  1.50,  1.50, 69.92,  2.26,100.00 
Overall Percentage,  0.47,  0.75, 15.21,  0.77, 23.25, 52.22,  4.91,  1.05,  0.72,  0.64,100.00 
