68 Te Tai Tonga,"SAMUEL, Maru (Destiny New Zealand)","TUREI, Metiria (Green Party)","CALDWELL, Russell (Jim Anderton's Progressive)","OKEROA, Mahara (Labour Party)","OHIA, Monte (Mâori Party)",Informal Candidate Votes,Party Vote Only,Total % 
 99 MP Party,  0.00, 33.33,  0.00,  0.00, 66.67,  0.00,  0.00,100.00 
ACT New Zealand,  3.45, 17.24, 10.34, 36.21, 25.86,  5.17,  1.72,100.00 
Alliance,  0.00, 14.29, 14.29, 28.57, 28.57, 14.29,  0.00,100.00 
Aotearoa Legalise Cannabis Party,  3.77, 32.08,  1.26, 32.08, 25.16,  3.14,  2.52,100.00 
Christian Heritage NZ, 11.11, 22.22,  0.00, 22.22, 44.44,  0.00,  0.00,100.00 
Democrats for Social Credit, 12.50, 25.00,  0.00, 12.50, 50.00,  0.00,  0.00,100.00 
Destiny New Zealand, 82.55,  0.43,  0.43,  3.83, 10.21,  0.85,  1.70,100.00 
Direct Democracy Party,  0.00,  0.00,  0.00, 33.33, 33.33, 33.33,  0.00,100.00 
Green Party,  0.47, 40.69,  1.01, 29.31, 26.27,  1.25,  1.01,100.00 
Jim Anderton's Progressive,  0.59,  5.33, 39.64, 30.77, 21.89,  1.78,  0.00,100.00 
Labour Party,  0.80, 10.57,  1.70, 65.11, 19.16,  1.24,  1.43,100.00 
Libertarianz,  0.00, 25.00, 25.00, 25.00,  0.00, 25.00,  0.00,100.00 
Mâori Party,  0.57,  4.91,  0.43, 10.83, 80.26,  0.80,  2.18,100.00 
National Party,  8.34, 12.59, 19.02, 10.40, 35.43, 13.34,  0.89,100.00 
New Zealand Family Rights Protection Party,  0.00, 28.57, 28.57, 42.86,  0.00,  0.00,  0.00,100.00 
New Zealand First Party,  5.65,  8.71,  7.74, 32.90, 36.05,  8.06,  0.89,100.00 
OneNZ Party,  0.00, 25.00,  0.00, 25.00, 25.00,  0.00, 25.00,100.00 
The Republic of New Zealand Party,  0.00,  0.00,  0.00, 66.67,  0.00,  0.00, 33.33,100.00 
United Future New Zealand, 20.38,  6.16, 12.32, 22.27, 32.70,  5.21,  0.95,100.00 
Informal Party Votes,  0.53,  1.06,  0.53, 15.34,  7.94, 71.43,  3.17,100.00 
Overall Percentage,  2.79, 11.46,  3.52, 45.01, 32.52,  3.25,  1.45,100.00 
