29 Napier,Total Party Votes,"O'NEILL, Mary (Alliance)","McVICAR, Garth (Conservative)","PULFORD, Barry (Democrats for Social Credit)","BAILEY, Paul (Green Party)","NASH, Stuart (Labour Party)","WALFORD, Wayne (National Party)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    103,  0.00, 24.27,  0.00,  2.91, 25.24, 42.72,  3.88,  0.97,100.00 
Aotearoa Legalise Cannabis Party,    153,  1.96, 14.38,  0.65, 23.53, 43.79,  9.80,  1.31,  4.58,100.00 
Ban1080,     58,  1.72, 39.66,  0.00, 13.79, 15.52, 24.14,  1.72,  3.45,100.00 
Conservative,   2270,  0.04, 71.67,  0.09,  0.26, 17.31,  9.91,  0.18,  0.53,100.00 
Democrats for Social Credit,     27,  0.00, 18.52,  7.41,  3.70, 44.44, 22.22,  0.00,  3.70,100.00 
Focus New Zealand,      6,  0.00, 50.00, 33.33,  0.00,  0.00,  0.00,  0.00, 16.67,100.00 
Green Party,   3198,  0.25,  7.38,  0.03, 22.08, 65.13,  3.22,  0.50,  1.41,100.00 
Internet MANA,    219,  1.37,  5.94,  0.46, 15.98, 63.01,  4.57,  1.83,  6.85,100.00 
Labour Party,   9466,  0.10,  5.41,  0.04,  2.26, 89.27,  0.44,  0.46,  2.02,100.00 
Māori Party,    160,  1.25, 10.00,  0.00, 10.00, 51.88, 15.63,  3.13,  8.13,100.00 
National Party,  18005,  0.06, 24.80,  0.14,  1.18, 13.06, 59.71,  0.48,  0.58,100.00 
New Zealand First Party,   2709,  0.66, 22.37,  0.44,  4.21, 60.94,  8.45,  1.62,  1.29,100.00 
NZ Independent Coalition,      7, 14.29,  0.00,  0.00, 14.29, 57.14, 14.29,  0.00,  0.00,100.00 
The Civilian Party,     16,  0.00, 12.50,  0.00, 18.75, 43.75, 25.00,  0.00,  0.00,100.00 
United Future,     63,  1.59, 34.92,  0.00,  4.76, 34.92, 20.63,  1.59,  1.59,100.00 
Informal Party Votes,    145,  0.69, 17.93,  0.69,  3.45, 32.41,  7.59, 35.86,  1.38,100.00 
Total Party Votes and Percentages,  36605,  0.16, 20.77,  0.14,  3.72, 41.92, 31.40,  0.72,  1.17,100.00 
