60 West Coast-Tasman,Total Party Votes,"BIRCHFIELD, Allan (ACT New Zealand)","WILKINSON, Steven (Aotearoa Legalise Cannabis Party)","TERRY, Robert (Aotearoa NZ Youth Party)","HOLLEY, Claire (Conservative Party)","HAGUE, Kevin (Green Party)","O'CONNOR, Damien (Labour Party)","AUCHINVOLE, Chris (National Party)","GRAF, Clyde (United Future)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    278, 26.62,  0.72,  0.00,  1.08,  2.16, 14.03, 51.08,  2.16,  1.44,  0.72,100.00 
Alliance,     16, 12.50,  6.25,  6.25,  0.00,  0.00, 50.00, 12.50,  6.25,  6.25,  0.00,100.00 
Aotearoa Legalise Cannabis Party,    249,  2.81, 57.03,  1.20,  0.00,  6.02, 23.29,  6.43,  0.80,  0.00,  2.41,100.00 
Conservative Party,   1075,  1.12,  0.37,  0.00, 35.63,  1.49, 22.05, 37.21,  0.93,  0.74,  0.47,100.00 
Democrats for Social Credit,     33,  0.00,  0.00,  3.03, 15.15,  6.06, 36.36, 12.12,  9.09, 18.18,  0.00,100.00 
Green Party,   4787,  0.17,  1.82,  0.10,  0.25, 26.76, 64.22,  4.05,  0.50,  0.69,  1.44,100.00 
Labour Party,   9200,  0.64,  0.92,  0.14,  0.38,  4.86, 88.53,  1.42,  0.57,  1.68,  0.85,100.00 
Libertarianz,     31, 16.13,  9.68,  0.00,  6.45,  6.45, 32.26, 19.35,  6.45,  0.00,  3.23,100.00 
Mana,     91,  1.10,  6.59,  3.30,  1.10, 16.48, 61.54,  3.30,  1.10,  2.20,  3.30,100.00 
Māori Party,    145,  2.76,  2.76,  0.69,  2.07, 13.79, 48.97, 23.45,  1.38,  2.76,  1.38,100.00 
National Party,  15462,  1.70,  0.41,  0.08,  0.63,  1.56, 15.96, 76.59,  0.91,  1.58,  0.57,100.00 
New Zealand First Party,   1931,  2.12,  2.23,  0.52,  3.88,  3.42, 68.00, 12.58,  1.97,  4.71,  0.57,100.00 
United Future,    468,  1.71,  1.28,  0.21,  1.07,  1.92, 27.56, 28.42, 35.47,  1.92,  0.43,100.00 
Informal Party Votes,    288,  1.04,  1.04,  0.35,  0.69,  1.04, 46.18, 21.88,  2.08, 24.65,  1.04,100.00 
Total Party Votes and Percentages,  34054,  1.43,  1.32,  0.15,  1.83,  6.23, 46.26, 38.80,  1.33,  1.84,  0.79,100.00 
