43 Rangitīkei,Total Party Votes,"WILSON, Neil (ACT New Zealand)","BROWN, Roy (Conservative)","RUSSELL, Deborah (Labour Party)","McKELVIE, Ian (National Party)","RUDZKI, Romuald Edward John (New Zealand First Party)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    131, 25.95,  3.82, 13.74, 51.15,  2.29,  0.76,  2.29,100.00 
Aotearoa Legalise Cannabis Party,    151,  3.97,  3.31, 38.41, 23.18, 16.56,  9.27,  5.30,100.00 
Ban1080,    106,  0.94, 12.26, 18.87, 48.11, 17.92,  0.94,  0.94,100.00 
Conservative,   2115,  0.33, 41.32,  5.86, 48.65,  2.65,  0.52,  0.66,100.00 
Democrats for Social Credit,     15,  6.67, 33.33, 20.00, 13.33, 26.67,  0.00,  0.00,100.00 
Focus New Zealand,      7,  0.00, 14.29, 42.86, 28.57, 14.29,  0.00,  0.00,100.00 
Green Party,   2709,  0.66,  2.88, 69.62, 17.05,  5.98,  2.25,  1.55,100.00 
Internet MANA,    208,  1.44,  4.33, 58.65, 10.58, 10.10,  4.81, 10.10,100.00 
Labour Party,   6408,  0.28,  1.03, 87.20,  5.45,  2.93,  0.69,  2.42,100.00 
Māori Party,    195,  2.56,  2.05, 34.36, 41.03, 11.28,  4.10,  4.62,100.00 
National Party,  18596,  0.33,  1.77,  2.17, 93.40,  0.92,  0.52,  0.89,100.00 
New Zealand First Party,   3914,  0.38,  2.68, 27.85, 24.12, 42.57,  0.92,  1.48,100.00 
NZ Independent Coalition,     12,  8.33, 25.00,  8.33, 25.00, 33.33,  0.00,  0.00,100.00 
The Civilian Party,     23, 13.04, 13.04, 34.78, 21.74,  4.35, 13.04,  0.00,100.00 
United Future,     75,  5.33,  4.00, 17.33, 61.33,  6.67,  1.33,  4.00,100.00 
Informal Party Votes,    119,  0.84,  1.68, 19.33, 17.65,  3.36, 57.14,  0.00,100.00 
Total Party Votes and Percentages,  34784,  0.51,  4.33, 27.10, 58.90,  6.76,  1.02,  1.38,100.00 
