52 Tauranga,Total Party Votes,"PEDERSEN, Stuart (ACT New Zealand)","HESLOP, Nathaniel (Conservative)","McLEAN, Ian (Green Party)","JONES, Rachel (Labour Party)","OHIA-GATE, Verna (Māori Party)","BRIDGES, Simon (National Party)","MITCHELL, Clayton (New Zealand First Party)","O'NEILL, Michael (NZ Independent Coalition)","MAXWELL, James (United Future)","KANE, Rusty (Independent)","LAMARE, Yvette (Independent)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    134, 24.63,  2.24,  1.49,  2.24,  0.00, 58.96,  5.22,  1.49,  0.00,  0.00,  0.00,  2.99,  0.75,100.00 
Aotearoa Legalise Cannabis Party,    110,  0.00,  0.91, 38.18, 12.73,  1.82, 17.27, 17.27,  0.91,  1.82,  0.91,  3.64,  1.82,  2.73,100.00 
Ban1080,     12,  0.00,  8.33,  0.00,  8.33,  0.00, 41.67, 16.67,  0.00,  8.33,  0.00,  8.33,  0.00,  8.33,100.00 
Conservative,   2146,  0.37, 31.31,  1.49,  3.17,  0.19, 52.80,  8.15,  0.51,  0.23,  0.28,  0.14,  0.75,  0.61,100.00 
Democrats for Social Credit,     17,  0.00,  0.00, 17.65, 11.76,  5.88,  5.88, 23.53, 11.76,  5.88,  0.00,  0.00,  5.88, 11.76,100.00 
Focus New Zealand,      3,  0.00,  0.00, 33.33,  0.00,  0.00,  0.00,  0.00, 33.33,  0.00, 33.33,  0.00,  0.00,  0.00,100.00 
Green Party,   2645,  0.30,  0.30, 44.61, 31.87,  0.64, 10.55,  7.49,  0.68,  0.08,  0.49,  0.15,  0.79,  2.04,100.00 
Internet MANA,    180,  1.67,  0.56, 25.00, 22.22,  7.22, 11.67, 17.78,  1.11,  1.11,  2.22,  1.67,  0.56,  7.22,100.00 
Labour Party,   5361,  0.09,  0.60,  6.40, 71.05,  0.69,  4.79, 12.07,  0.28,  0.19,  0.19,  0.15,  0.63,  2.87,100.00 
Māori Party,    222,  0.90,  0.90,  5.86, 12.61, 26.58, 36.04,  6.76,  2.25,  0.00,  0.45,  0.90,  0.90,  5.86,100.00 
National Party,  20728,  0.41,  1.33,  1.82,  1.50,  0.14, 87.15,  5.35,  0.22,  0.19,  0.14,  0.05,  0.55,  1.15,100.00 
New Zealand First Party,   5387,  0.11,  1.24,  2.41, 13.27,  0.41, 12.25, 67.09,  0.45,  0.13,  0.28,  0.17,  0.78,  1.41,100.00 
NZ Independent Coalition,     96,  1.04,  0.00,  3.13, 10.42,  2.08, 25.00,  3.13, 50.00,  0.00,  2.08,  0.00,  2.08,  1.04,100.00 
The Civilian Party,      7,  0.00,  0.00, 14.29, 14.29,  0.00, 42.86,  0.00, 14.29,  0.00,  0.00, 14.29,  0.00,  0.00,100.00 
United Future,     94,  4.26,  2.13,  3.19, 11.70,  2.13, 45.74,  7.45,  2.13, 18.09,  0.00,  0.00,  3.19,  0.00,100.00 
Informal Party Votes,    152,  0.00,  0.66,  1.32,  8.55,  0.00, 28.29, 12.50,  0.66,  0.00,  0.66,  0.00, 46.05,  1.32,100.00 
Total Party Votes and Percentages,  37294,  0.41,  2.86,  5.84, 15.74,  0.50, 55.53, 15.69,  0.48,  0.23,  0.23,  0.12,  0.84,  1.53,100.00 
