39 Papakura,Total Party Votes,"THOMPSON, John (ACT New Zealand)","DAW, Bob (Conservative Party)","CONROY, Caroline (Green Party)","MIKA, Jerome (Labour Party)","COLLINS, Judith (National Party)","CATCHPOLE, Brent (New Zealand First Party)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    331, 19.34,  1.51,  1.21,  4.23, 68.28,  1.81,  1.81,  1.81,100.00 
Alliance,      9, 33.33, 22.22,  0.00, 22.22,  0.00, 22.22,  0.00,  0.00,100.00 
Aotearoa Legalise Cannabis Party,    152,  1.97,  2.63, 26.32, 21.71, 30.26,  6.58,  1.97,  8.55,100.00 
Conservative Party,    967,  0.31, 35.57,  2.17,  5.17, 52.64,  1.76,  1.65,  0.72,100.00 
Democrats for Social Credit,     11,  0.00, 27.27, 18.18,  9.09, 45.45,  0.00,  0.00,  0.00,100.00 
Green Party,   1731,  0.23,  0.52, 41.94, 26.23, 25.30,  1.91,  1.44,  2.43,100.00 
Labour Party,   8603,  0.29,  0.63,  3.98, 77.46,  7.03,  3.09,  3.42,  4.10,100.00 
Libertarianz,     22, 13.64,  9.09,  9.09,  9.09, 45.45,  0.00, 13.64,  0.00,100.00 
Mana,    159,  0.00,  2.52, 22.01, 35.85,  6.92, 11.95,  3.77, 16.98,100.00 
Māori Party,    183,  1.09,  0.00,  9.29, 28.42, 43.72,  3.83,  3.28, 10.38,100.00 
National Party,  16640,  0.55,  0.84,  1.41,  0.94, 92.58,  0.85,  1.78,  1.06,100.00 
New Zealand First Party,   2680,  0.41,  1.60,  2.95, 23.77, 22.84, 44.63,  2.46,  1.34,100.00 
United Future,    133,  0.00,  6.77,  8.27, 11.28, 66.17,  4.51,  3.01,  0.00,100.00 
Informal Party Votes,    250,  1.20,  0.40,  2.40, 27.60, 24.00,  6.00, 35.60,  2.80,100.00 
Total Party Votes and Percentages,  31871,  0.67,  1.94,  4.77, 25.75, 56.78,  5.39,  2.55,  2.16,100.00 
