33 North Shore,"KEARNEY, Nick (ACT New Zealand)","GILLON, Paula (Jim Anderton's Progressive)","TWYFORD, Phil (Labour Party)","MURPHY, Michael Myles (Libertarianz)","HARRISON, Raewyn (Mâori Party)","MAPP, Wayne (National Party)","TIZARD, Ross (United Future New Zealand)",Informal Candidate Votes,Party Vote Only,Total % 
 99 MP Party,  0.00,  9.09, 45.45,  0.00,  9.09, 18.18,  9.09,  0.00,  9.09,100.00 
ACT New Zealand, 20.45,  0.52,  7.87,  0.70,  0.35, 67.13,  0.61,  1.57,  0.79,100.00 
Alliance,  0.00, 20.00, 70.00,  0.00,  0.00,  0.00,  0.00, 10.00,  0.00,100.00 
Aotearoa Legalise Cannabis Party,  1.82,  3.64, 27.27,  5.45,  5.45, 45.45,  1.82,  0.00,  9.09,100.00 
Christian Heritage NZ,  5.66,  0.00,  3.77,  1.89,  0.00, 45.28, 35.85,  7.55,  0.00,100.00 
Democrats for Social Credit, 20.00, 20.00, 20.00,  0.00,  0.00,  0.00, 40.00,  0.00,  0.00,100.00 
Destiny New Zealand,  0.83,  2.50,  5.83,  0.83,  0.00, 60.83, 19.17,  5.83,  4.17,100.00 
Direct Democracy Party,  0.00,  0.00, 30.00,  0.00,  0.00, 40.00,  0.00, 10.00, 20.00,100.00 
Green Party,  1.24,  3.30, 76.49,  0.88,  2.11, 11.39,  1.60,  1.65,  1.34,100.00 
Jim Anderton's Progressive,  0.77, 32.57, 48.28,  0.38,  0.38, 12.26,  3.07,  1.15,  1.15,100.00 
Labour Party,  0.88,  1.85, 85.88,  0.22,  0.84,  6.92,  1.09,  1.04,  1.27,100.00 
Libertarianz,  4.76,  4.76,  0.00, 61.90,  4.76, 14.29,  4.76,  4.76,  0.00,100.00 
Mâori Party,  0.94,  0.00, 32.08,  0.94, 34.91, 14.15,  0.94,  0.94, 15.09,100.00 
National Party,  2.05,  0.33,  1.64,  0.27,  0.16, 92.90,  1.43,  0.44,  0.78,100.00 
New Zealand Family Rights Protection Party, 16.67,  0.00, 50.00,  0.00,  0.00, 16.67,  0.00, 16.67,  0.00,100.00 
New Zealand First Party,  2.73,  5.82, 22.70,  0.77,  2.55, 54.96,  4.58,  4.93,  0.95,100.00 
OneNZ Party,  0.00,  7.69, 23.08,  7.69,  0.00, 53.85,  0.00,  0.00,  7.69,100.00 
The Republic of New Zealand Party,  0.00,  0.00,100.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
United Future New Zealand,  0.99,  0.62, 12.89,  0.25,  0.74, 47.83, 35.19,  1.24,  0.25,100.00 
Informal Party Votes,  0.00,  1.11, 14.44,  0.00,  1.11, 14.44,  0.00, 68.89,  0.00,100.00 
Overall Percentage,  2.21,  1.44, 32.55,  0.37,  0.70, 58.27,  2.29,  1.14,  1.02,100.00 
