57 Waimakariri,Total Party Votes,"PRICE, Benjamin (Conservative)","ADCOCK-WHITE, Peter (Democrats for Social Credit)","HUNT, Reuben (Green Party)","COSGROVE, Clayton (Labour Party)","RERITI-CROFTS, Aroha (Māori Party)","DOOCEY, Matt (National Party)","PROSSER, Richard Ivor (New Zealand First Party)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,     80,  2.50,  1.25,  1.25, 32.50,  0.00, 58.75,  3.75,  0.00,  0.00,100.00 
Aotearoa Legalise Cannabis Party,    127,  1.57,  0.79, 14.17, 48.03,  0.79, 18.11,  7.09,  0.79,  8.66,100.00 
Ban1080,     69,  4.35,  2.90, 11.59, 28.99,  1.45, 33.33, 11.59,  0.00,  5.80,100.00 
Conservative,   1560, 34.62,  0.06,  1.28, 27.12,  0.06, 33.53,  1.99,  0.45,  0.90,100.00 
Democrats for Social Credit,     69,  0.00, 27.54,  0.00, 52.17,  0.00, 10.14,  5.80,  4.35,  0.00,100.00 
Focus New Zealand,      5,  0.00, 20.00, 20.00, 20.00,  0.00,  0.00, 40.00,  0.00,  0.00,100.00 
Green Party,   3198,  0.31,  0.19, 27.08, 63.63,  0.41,  5.63,  0.53,  0.38,  1.84,100.00 
Internet MANA,    141,  4.26,  0.00, 18.44, 58.87,  2.13,  5.67,  4.26,  2.84,  3.55,100.00 
Labour Party,   6835,  0.41,  0.12,  3.25, 91.35,  0.13,  1.46,  1.24,  0.31,  1.73,100.00 
Māori Party,     95,  1.05,  0.00,  0.00, 35.79, 25.26, 32.63,  0.00,  1.05,  4.21,100.00 
National Party,  20734,  0.91,  0.06,  1.16, 18.54,  0.14, 77.09,  0.81,  0.39,  0.91,100.00 
New Zealand First Party,   3054,  1.05,  0.26,  3.05, 60.71,  0.33,  9.92, 22.27,  0.75,  1.67,100.00 
NZ Independent Coalition,      6,  0.00, 33.33,  0.00, 50.00,  0.00, 16.67,  0.00,  0.00,  0.00,100.00 
The Civilian Party,     15,  0.00,  6.67, 20.00, 53.33,  6.67,  0.00,  6.67,  0.00,  6.67,100.00 
United Future,     66,  6.06,  0.00,  9.09, 43.94,  0.00, 30.30,  7.58,  1.52,  1.52,100.00 
Informal Party Votes,    114,  0.00,  0.00,  0.88, 48.25,  0.88, 11.40,  4.39, 34.21,  0.00,100.00 
Total Party Votes and Percentages,  36168,  2.26,  0.17,  4.16, 40.80,  0.25, 47.73,  2.83,  0.53,  1.26,100.00 
