33 Northcote,Total Party Votes,"KEARNEY, Nick (ACT New Zealand)","XU, Angela (Family Party)","ELLEY, Jeanette (Green Party)","HILL, Brenda (Jim Anderton's Progressive)","McDONALD, Barry (Kiwi Party)","McCRACKEN, Hamish (Labour Party)","LINTON, Peter (Libertarianz)","COLEMAN, Jonathan (National Party)","DOHERTY, Benjamin (RAM - Residents Action Movement)","DROMGOOL, Steven (United Future)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,   1877, 11.77,  1.12,  1.39,  0.11,  0.05,  2.82,  0.43, 81.14,  0.11,  0.32,  0.05,  0.69,100.00 
Alliance,      8,  0.00, 12.50,  0.00, 12.50,  0.00, 12.50, 12.50, 50.00,  0.00,  0.00,  0.00,  0.00,100.00 
Aotearoa Legalise Cannabis Party,    138,  3.62,  0.72, 21.01,  0.00,  1.45, 22.46,  4.35, 35.51,  2.17,  2.17,  1.45,  5.07,100.00 
Democrats for Social Credit,     13,  0.00,  0.00,  7.69,  7.69,  0.00,  7.69,  7.69, 46.15,  0.00,  7.69,  7.69,  7.69,100.00 
Family Party,    148,  0.00, 62.84,  1.35,  0.00,  0.00,  8.11,  0.00, 22.30,  0.68,  0.00,  1.35,  3.38,100.00 
Green Party,   2368,  0.30,  0.17, 35.94,  0.30,  0.00, 45.48,  0.13, 15.33,  0.34,  0.17,  0.55,  1.31,100.00 
Jim Anderton's Progressive,    299,  0.33,  1.67,  6.02, 25.08,  0.00, 40.80,  0.00, 24.75,  0.33,  0.67,  0.00,  0.33,100.00 
Kiwi Party,    182,  0.55, 13.19,  1.10,  1.10, 26.37, 11.54,  0.00, 40.66,  0.00,  1.10,  2.20,  2.20,100.00 
Labour Party,  10517,  0.48,  1.31,  7.09,  0.54,  0.20, 79.81,  0.06,  8.20,  0.12,  0.17,  0.54,  1.46,100.00 
Libertarianz,     37,  5.41,  0.00,  5.41,  0.00,  0.00,  5.41, 70.27, 10.81,  0.00,  0.00,  0.00,  2.70,100.00 
Maori Party,    227,  2.20,  2.20, 10.57,  1.76,  2.20, 41.41,  0.44, 29.07,  0.00,  0.00,  1.76,  8.37,100.00 
National Party,  17827,  1.96,  1.31,  1.53,  0.11,  0.21,  1.35,  0.06, 91.82,  0.08,  0.21,  0.34,  1.02,100.00 
New Zealand First Party,   1118,  0.81,  1.16,  3.67,  2.24,  2.24, 52.50,  0.72, 32.20,  0.54,  0.45,  2.24,  1.25,100.00 
New Zealand Pacific Party,     72,  0.00,  0.00,  2.78,  1.39,  1.39, 77.78,  0.00, 13.89,  0.00,  0.00,  0.00,  2.78,100.00 
RAM - Residents Action Movement,      9,  0.00,  0.00,  0.00,  0.00,  0.00, 22.22,  0.00, 11.11, 66.67,  0.00,  0.00,  0.00,100.00 
The Bill and Ben Party,    159,  3.77,  1.26, 11.95,  1.26,  0.00, 24.53,  3.14, 49.69,  2.52,  0.63,  0.63,  0.63,100.00 
The Republic of New Zealand Party,      6,  0.00,  0.00,  0.00,  0.00, 33.33,  0.00, 16.67, 16.67, 16.67, 16.67,  0.00,  0.00,100.00 
United Future,    348,  0.57,  1.72,  2.01,  0.57,  0.29,  6.61,  0.29, 68.68,  0.00, 18.10,  0.57,  0.57,100.00 
Workers Party,      9, 22.22, 11.11,  0.00,  0.00,  0.00, 44.44,  0.00, 11.11, 11.11,  0.00,  0.00,  0.00,100.00 
Informal Party Votes,    107,  1.87,  0.93,  2.80,  0.00,  0.00, 12.15,  0.00, 13.08,  0.00,  0.00, 69.16,  0.00,100.00 
Total Party Votes and Percentages,  35469,  1.87,  1.55,  5.77,  0.56,  0.41, 30.37,  0.22, 56.76,  0.17,  0.40,  0.69,  1.23,100.00 
