38 Pakuranga,Total Party Votes,"WHYTE, Jamie (ACT New Zealand)","CRAIG, Andrew (Conservative)","KIRKER, Barry (Labour Party)","WILLIAMSON, Maurice (National Party)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,   1021, 51.71,  3.53,  4.21, 34.57,  4.70,  1.27,100.00 
Aotearoa Legalise Cannabis Party,    109, 10.09, 11.01, 25.69, 45.87,  3.67,  3.67,100.00 
Ban1080,     11,  0.00,  9.09, 45.45, 45.45,  0.00,  0.00,100.00 
Conservative,   1930,  3.58, 64.46,  3.63, 26.37,  0.78,  1.19,100.00 
Democrats for Social Credit,      8,  0.00, 37.50, 62.50,  0.00,  0.00,  0.00,100.00 
Focus New Zealand,      4, 25.00, 75.00,  0.00,  0.00,  0.00,  0.00,100.00 
Green Party,   2192,  4.29,  6.20, 57.89, 27.05,  3.10,  1.46,100.00 
Internet MANA,    214,  4.67,  8.88, 57.48, 21.03,  5.14,  2.80,100.00 
Labour Party,   5511,  1.81,  2.65, 83.20,  7.95,  1.98,  2.41,100.00 
Māori Party,    108,  3.70, 11.11, 26.85, 42.59,  4.63, 11.11,100.00 
National Party,  20854,  5.14,  6.64,  2.04, 83.69,  1.40,  1.09,100.00 
New Zealand First Party,   2456,  4.97, 18.28, 36.93, 33.55,  4.56,  1.71,100.00 
NZ Independent Coalition,      8, 50.00,  0.00, 37.50, 12.50,  0.00,  0.00,100.00 
The Civilian Party,     16, 18.75,  6.25, 25.00, 31.25, 18.75,  0.00,100.00 
United Future,     78,  5.13, 12.82, 14.10, 66.67,  0.00,  1.28,100.00 
Informal Party Votes,    101,  7.92,  7.92, 12.87, 13.86, 54.46,  2.97,100.00 
Total Party Votes and Percentages,  34621,  5.86, 10.01, 21.72, 58.89,  2.08,  1.43,100.00 
