15 Helensville,Total Party Votes,"GARRETT, David (ACT New Zealand)","CLENDON, David (Green Party)","FENTON, Darien (Labour Party)","OSBORNE, Peter (Libertarianz)","KEY, John (National Party)","LOVELOCK, Angela (United Future)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,   2481,  8.26,  0.69,  1.33,  0.44, 88.11,  0.40,  0.08,  0.69,100.00 
Alliance,     19,  5.26,  5.26, 21.05,  5.26, 36.84, 10.53,  0.00, 15.79,100.00 
Aotearoa Legalise Cannabis Party,    131,  2.29, 28.24, 12.98,  3.05, 43.51,  3.05,  0.76,  6.11,100.00 
Democrats for Social Credit,      8, 12.50, 12.50, 12.50,  0.00, 50.00, 12.50,  0.00,  0.00,100.00 
Family Party,    182,  7.14,  1.65,  4.95,  0.00, 74.73,  8.24,  3.30,  0.00,100.00 
Green Party,   1814,  1.16, 52.09, 25.80,  0.22, 18.25,  0.50,  0.44,  1.54,100.00 
Jim Anderton's Progressive,    195,  4.62, 15.90, 41.54,  2.05, 32.31,  2.05,  1.03,  0.51,100.00 
Kiwi Party,    105,  2.86,  7.62,  6.67,  1.90, 66.67,  8.57,  4.76,  0.95,100.00 
Labour Party,   6826,  1.11, 12.16, 73.56,  0.18,  9.29,  0.69,  0.84,  2.18,100.00 
Libertarianz,     21,  0.00,  4.76,  4.76, 90.48,  0.00,  0.00,  0.00,  0.00,100.00 
Maori Party,    182,  2.75, 15.93, 21.43,  1.10, 43.96,  3.85,  2.75,  8.24,100.00 
National Party,  23559,  1.88,  0.66,  0.28,  0.06, 95.59,  0.37,  0.20,  0.98,100.00 
New Zealand First Party,    940,  1.60,  7.87, 42.98,  1.17, 37.45,  3.72,  3.30,  1.91,100.00 
New Zealand Pacific Party,     45,  2.22,  6.67, 44.44,  0.00, 40.00,  6.67,  0.00,  0.00,100.00 
RAM - Residents Action Movement,      8,  0.00, 12.50, 25.00, 12.50, 25.00, 25.00,  0.00,  0.00,100.00 
The Bill and Ben Party,    170,  4.12, 13.53, 18.24,  1.76, 58.82,  0.59,  1.18,  1.76,100.00 
The Republic of New Zealand Party,      4,  0.00, 75.00,  0.00,  0.00,  0.00,  0.00,  0.00, 25.00,100.00 
United Future,    289,  2.77,  0.35,  3.11,  0.35, 66.09, 25.61,  1.04,  0.69,100.00 
Workers Party,      9,  0.00, 11.11, 33.33,  0.00, 44.44,  0.00, 11.11,  0.00,100.00 
Informal Party Votes,    110,  0.00,  0.91,  8.18,  0.91, 14.55,  0.00, 74.55,  0.91,100.00 
Total Party Votes and Percentages,  37098,  2.19,  5.84, 16.78,  0.24, 72.16,  0.83,  0.68,  1.29,100.00 
