24 Manurewa,Total Party Votes,"BAILEY, Michael James (ACT New Zealand)","LEWIS, Richard (Family Party)","JOHNSON, Alan (Green Party)","BAINS, Sukhdev Singh (Jim Anderton's Progressive)","KHAN, Amjad (Kiwi Party)","HAWKINS, George (Labour Party)","CALDER, Cam (National Party)","HALL, John (New Zealand First Party)","VITALE, Vui K Sapa'u (New Zealand Pacific Party)","STOWERS, Jim (United Future)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    633, 33.02,  1.58,  1.42,  0.47,  0.47,  9.79, 48.66,  1.11,  0.16,  1.26,  0.47,  1.58,100.00 
Alliance,      4, 25.00,  0.00,  0.00,  0.00,  0.00, 50.00,  0.00,  0.00,  0.00,  0.00, 25.00,  0.00,100.00 
Aotearoa Legalise Cannabis Party,     92,  3.26,  4.35, 23.91,  0.00,  1.09, 40.22, 13.04,  1.09,  1.09,  0.00,  2.17,  9.78,100.00 
Democrats for Social Credit,      2, 50.00,  0.00,  0.00,  0.00,  0.00,  0.00, 50.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
Family Party,    193,  1.55, 79.27,  1.04,  0.00,  0.00,  7.77,  1.55,  0.52,  1.55,  0.00,  0.00,  6.74,100.00 
Green Party,    588,  1.70,  0.68, 42.86,  0.17,  0.34, 42.35,  6.46,  0.51,  0.68,  0.34,  0.68,  3.23,100.00 
Jim Anderton's Progressive,    276,  2.54,  1.45,  3.62, 22.10,  0.00, 51.81, 13.04,  0.72,  0.72,  0.36,  0.72,  2.90,100.00 
Kiwi Party,     66,  7.58, 13.64,  3.03,  0.00, 33.33, 15.15, 18.18,  0.00,  1.52,  1.52,  1.52,  4.55,100.00 
Labour Party,  13673,  0.81,  0.59,  3.25,  0.71,  0.19, 83.08,  0.86,  1.28,  3.44,  0.24,  1.27,  4.29,100.00 
Libertarianz,      7, 57.14,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 14.29, 14.29, 14.29,  0.00,  0.00,100.00 
Maori Party,    331,  1.51,  6.04,  9.06,  0.60,  1.81, 42.90,  6.95,  5.14,  3.02,  0.60,  2.11, 20.24,100.00 
National Party,   7941,  6.03,  2.38,  1.76,  1.03,  0.30,  7.23, 75.94,  1.20,  0.78,  0.79,  0.89,  1.66,100.00 
New Zealand First Party,   1187,  1.52,  1.18,  2.36,  1.01,  0.25, 47.35,  9.10, 32.69,  1.52,  0.25,  0.59,  2.19,100.00 
New Zealand Pacific Party,    909,  0.55,  1.21,  0.33,  0.00,  0.11, 27.06,  1.87,  0.22, 61.39,  0.00,  0.66,  6.60,100.00 
RAM - Residents Action Movement,      7, 28.57,  0.00,  0.00,  0.00,  0.00, 14.29, 14.29, 28.57,  0.00,  0.00,  0.00, 14.29,100.00 
The Bill and Ben Party,     90,  7.78,  4.44, 12.22,  0.00,  1.11, 34.44, 28.89,  4.44,  0.00,  1.11,  1.11,  4.44,100.00 
The Republic of New Zealand Party,      5,  0.00,  0.00,  0.00,  0.00, 20.00, 40.00,  0.00,  0.00,  0.00, 40.00,  0.00,  0.00,100.00 
United Future,    170,  4.12,  5.88,  3.53,  0.00,  0.59, 18.82, 24.71,  1.18,  0.00, 40.00,  0.00,  1.18,100.00 
Workers Party,      7, 14.29, 14.29,  0.00, 28.57,  0.00, 14.29, 14.29, 14.29,  0.00,  0.00,  0.00,  0.00,100.00 
Informal Party Votes,    220,  0.45,  0.45,  1.82,  1.36,  0.45, 19.55,  4.09,  2.73,  3.18,  0.00, 58.64,  7.27,100.00 
Total Party Votes and Percentages,  26401,  3.33,  1.95,  3.65,  1.00,  0.35, 51.18, 25.70,  2.68,  4.31,  0.70,  1.55,  3.62,100.00 
