44 Rodney,Total Party Votes,"GOOD, Beryl (ACT New Zealand)","ADAMS, Karl (Family Party)","HAY, David (Green Party)","DYER, Simonne (Kiwi Party)","ROBERTS, Conor (Labour Party)","SMITH, Lockwood (National Party)","MARTIN, Tracey (New Zealand First Party)","DEAL, Kathleen (United Future)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,   2496, 15.63,  1.44,  1.36,  0.68,  1.68, 77.56,  0.68,  0.20,  0.16,  0.60,100.00 
Alliance,     24,  4.17,  0.00,  8.33,  0.00, 45.83, 20.83,  8.33,  8.33,  4.17,  0.00,100.00 
Aotearoa Legalise Cannabis Party,    136,  3.68,  2.21, 36.76,  0.00, 16.91, 30.15,  4.41,  1.47,  2.21,  2.21,100.00 
Democrats for Social Credit,      9,  0.00,  0.00, 22.22,  0.00,  0.00, 55.56, 22.22,  0.00,  0.00,  0.00,100.00 
Family Party,    226,  1.77, 67.70,  1.33,  3.10,  2.21, 20.35,  1.77,  0.44,  0.00,  1.33,100.00 
Green Party,   1969,  0.71,  1.17, 58.30,  0.41, 25.70,  9.29,  2.29,  0.41,  0.61,  1.12,100.00 
Jim Anderton's Progressive,    197,  1.02,  3.05, 15.23,  3.55, 44.16, 18.78,  6.09,  3.05,  3.55,  1.52,100.00 
Kiwi Party,    327,  1.83,  4.89,  0.92, 58.10,  2.14, 28.44,  2.14,  1.53,  0.00,  0.00,100.00 
Labour Party,   7842,  0.89,  1.02, 13.10,  0.61, 72.01,  5.78,  4.71,  0.11,  0.54,  1.24,100.00 
Libertarianz,     11, 18.18,  0.00, 27.27,  9.09,  9.09, 27.27,  0.00,  0.00,  0.00,  9.09,100.00 
Maori Party,    182,  2.20,  4.40, 24.18,  4.95, 20.88, 21.98,  8.24,  2.20,  1.65,  9.34,100.00 
National Party,  22441,  5.37,  1.63,  2.01,  1.11,  0.91, 86.15,  1.20,  0.53,  0.33,  0.75,100.00 
New Zealand First Party,   1722,  1.10,  1.34,  2.61,  0.99, 25.32, 18.58, 48.61,  0.23,  0.58,  0.64,100.00 
New Zealand Pacific Party,      5,  0.00,  0.00, 20.00, 20.00, 20.00,  0.00, 20.00,  0.00, 20.00,  0.00,100.00 
RAM - Residents Action Movement,      5,  0.00,  0.00, 20.00, 20.00, 40.00, 20.00,  0.00,  0.00,  0.00,  0.00,100.00 
The Bill and Ben Party,    150, 12.00,  4.00, 18.67,  6.00, 14.00, 38.00,  2.00,  1.33,  1.33,  2.67,100.00 
The Republic of New Zealand Party,      4,  0.00, 25.00, 25.00,  0.00,  0.00, 50.00,  0.00,  0.00,  0.00,  0.00,100.00 
United Future,    288,  4.17,  3.82,  4.17,  5.21,  5.21, 45.83,  3.47, 26.74,  0.35,  1.04,100.00 
Workers Party,      8, 12.50,  0.00, 12.50, 12.50, 25.00, 25.00,  0.00,  0.00,  0.00, 12.50,100.00 
Informal Party Votes,    107,  6.54,  2.80,  2.80,  0.00, 13.08,  9.35,  0.00,  0.93, 61.68,  2.80,100.00 
Total Party Votes and Percentages,  38149,  4.61,  1.93,  7.58,  1.52, 18.51, 59.50,  4.19,  0.64,  0.59,  0.92,100.00 
