26 Maungakiekie,"LORENZ, Michelle (ACT New Zealand)","BROWN, Patrick (Communist League)","SO'E, Ned (Destiny New Zealand)","ANDERSON, Alastair (Direct Democracy Party)","QUALTROUGH, Paul (Green Party)","FONUA, Sione Tuitavake (Jim Anderton's Progressive)","GOSCHE, Mark (Labour Party)","PURU, Bill (Mâori Party)","GOLDSMITH, Paul (National Party)","REID, Christine Anne (New Zealand Family Rights Protection Party)","WILLIAMS, Joe (New Zealand First Party)","BERG, Bevan (NZ Republicans Party)","OGILVY, Bernie (United Future New Zealand)",Informal Candidate Votes,Party Vote Only,Total % 
 99 MP Party,  0.00,  0.00,  0.00, 11.11, 11.11,  0.00,  0.00, 11.11, 11.11, 22.22, 22.22,  0.00,  0.00, 11.11,  0.00,100.00 
ACT New Zealand, 26.37,  0.51,  0.17,  0.00,  0.86,  6.16, 14.21,  1.03, 43.66,  0.17,  1.20,  0.17,  1.03,  3.25,  1.20,100.00 
Alliance,  0.00,  0.00,  0.00,  9.09,  9.09,  0.00, 45.45,  0.00,  0.00,  0.00, 18.18,  0.00,  9.09,  9.09,  0.00,100.00 
Aotearoa Legalise Cannabis Party,  1.82,  0.00,  0.00,  1.82, 32.73,  0.00, 27.27,  5.45, 18.18,  1.82,  1.82,  1.82,  3.64,  0.00,  3.64,100.00 
Christian Heritage NZ,  0.00,  0.00, 19.57,  0.00,  0.00,  8.70, 15.22,  2.17, 26.09,  0.00,  6.52,  0.00, 13.04,  6.52,  2.17,100.00 
Democrats for Social Credit,  0.00, 14.29,  0.00,  0.00,  0.00, 28.57, 42.86,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 14.29,  0.00,100.00 
Destiny New Zealand,  0.00,  0.00, 71.38,  0.72,  0.36,  6.16,  9.78,  0.72,  3.62,  0.36,  0.72,  0.00,  1.09,  1.09,  3.99,100.00 
Direct Democracy Party,  9.09,  9.09,  0.00, 63.64,  0.00,  0.00,  9.09,  0.00,  9.09,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
Green Party,  0.47,  0.55,  0.24,  0.00, 23.05,  0.47, 67.25,  0.79,  4.34,  0.08,  0.55,  0.00,  0.32,  0.55,  1.34,100.00 
Jim Anderton's Progressive,  0.97,  0.24,  0.24,  0.00,  2.90, 27.29, 56.28,  0.00,  7.00,  0.48,  0.72,  0.00,  0.72,  1.21,  1.93,100.00 
Labour Party,  0.76,  0.12,  0.32,  0.14,  2.74,  2.20, 86.66,  0.72,  1.05,  0.15,  0.99,  0.05,  0.35,  1.23,  2.52,100.00 
Libertarianz, 42.86,  0.00,  0.00,  0.00,  0.00, 14.29,  0.00,  0.00, 42.86,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
Mâori Party,  0.00,  1.63,  1.09,  0.00,  2.72,  1.09, 25.00, 44.02,  2.17,  0.00,  2.72,  0.00,  1.63,  2.17, 15.76,100.00 
National Party,  3.13,  0.08,  0.67,  0.09,  1.12,  0.26,  5.68,  0.26, 82.37,  0.12,  1.71,  0.03,  2.47,  0.78,  1.23,100.00 
New Zealand Family Rights Protection Party,  0.00,  0.00,  4.08,  0.00,  6.12,  4.08, 34.69,  0.00,  6.12, 44.90,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
New Zealand First Party,  0.86,  0.23,  1.02,  0.16,  1.33,  0.39, 27.31,  1.49, 18.86,  0.16, 45.70,  0.00,  0.94,  0.39,  1.17,100.00 
OneNZ Party,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 50.00,  0.00,  0.00,  0.00,  0.00, 50.00,  0.00,100.00 
The Republic of New Zealand Party,  0.00,  0.00,  0.00,  0.00,  0.00, 50.00,  0.00,  0.00,  0.00,  0.00, 50.00,  0.00,  0.00,  0.00,  0.00,100.00 
United Future New Zealand,  0.48,  0.32,  1.44,  0.16,  1.28,  0.48, 23.76,  0.16, 25.20,  0.32,  0.80,  0.32, 43.66,  0.80,  0.80,100.00 
Informal Party Votes,  2.01,  4.03,  0.67,  1.34,  0.00,  2.68, 23.49,  0.67,  3.36,  0.67,  3.36,  0.00,  0.67, 55.70,  1.34,100.00 
Overall Percentage,  2.03,  0.18,  1.16,  0.15,  2.94,  1.84, 51.57,  0.86, 30.54,  0.23,  3.12,  0.05,  2.02,  1.34,  1.99,100.00 
