14 Epsom,"HIDE, Rodney (ACT New Zealand)","GABB, Rod (Destiny New Zealand)","CHAN, Tin Yau (Direct Democracy Party)","LOCKE, Keith (Green Party)","VAN DEN HEUVEL, Anthony Joseph (Human Rights)","ASHRAFI, Fatima (Jim Anderton's Progressive)","NASH, Stuart (Labour Party)","WORTH, Richard (National Party)","TUCK, Janet (United Future New Zealand)",Informal Candidate Votes,Party Vote Only,Total % 
 99 MP Party, 66.67,  0.00, 16.67,  0.00,  0.00,  0.00,  0.00, 16.67,  0.00,  0.00,  0.00,100.00 
ACT New Zealand, 79.55,  0.08,  0.49,  0.24,  0.08,  0.00,  1.70, 16.09,  0.24,  0.32,  1.21,100.00 
Alliance, 18.18,  0.00,  0.00, 18.18,  0.00,  0.00, 54.55,  9.09,  0.00,  0.00,  0.00,100.00 
Aotearoa Legalise Cannabis Party, 24.00,  0.00,  0.00, 32.00,  4.00,  0.00, 20.00,  4.00,  0.00,  4.00, 12.00,100.00 
Christian Heritage NZ, 18.18,  6.06,  0.00,  6.06,  0.00,  0.00,  9.09, 51.52,  3.03,  3.03,  3.03,100.00 
Democrats for Social Credit, 16.67,  0.00, 33.33, 16.67,  0.00, 16.67,  0.00,  0.00, 16.67,  0.00,  0.00,100.00 
Destiny New Zealand, 15.15, 40.91, 13.64,  1.52,  1.52,  0.00,  1.52, 18.18,  1.52,  3.03,  3.03,100.00 
Direct Democracy Party,  0.00, 11.11, 77.78,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 11.11,100.00 
Green Party, 10.10,  0.15,  0.15, 24.99,  0.21,  0.36, 26.17, 35.75,  0.15,  0.46,  1.49,100.00 
Jim Anderton's Progressive, 17.07,  0.00,  0.49,  6.83,  0.00, 14.63, 32.20, 25.37,  1.46,  0.49,  1.46,100.00 
Labour Party,  9.72,  0.17,  0.33,  8.27,  0.09,  0.81, 52.98, 24.40,  0.54,  0.71,  1.98,100.00 
Libertarianz, 60.00,  0.00,  0.00,  5.00,  5.00,  0.00, 10.00, 15.00,  0.00,  5.00,  0.00,100.00 
Mâori Party, 14.95,  9.35,  1.87, 19.63,  1.87,  3.74, 22.43, 18.69,  3.74,  0.93,  2.80,100.00 
National Party, 58.72,  0.15,  0.15,  0.52,  0.03,  0.04,  0.50, 38.13,  0.53,  0.25,  0.99,100.00 
New Zealand Family Rights Protection Party, 66.67,  0.00,  0.00,  0.00, 33.33,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
New Zealand First Party, 36.98,  1.80,  0.11,  3.16,  0.68,  1.80, 10.94, 38.33,  2.59,  2.03,  1.58,100.00 
OneNZ Party,  0.00,  0.00,  0.00,  0.00,  0.00, 33.33,  0.00, 33.33,  0.00, 33.33,  0.00,100.00 
The Republic of New Zealand Party,100.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
United Future New Zealand, 26.42,  0.63,  0.16,  2.67,  0.31,  0.31,  6.29, 40.57, 21.07,  0.63,  0.94,100.00 
Informal Party Votes,  3.19,  2.13,  0.00,  0.00,  0.00,  0.00,  5.32,  6.38,  0.00, 82.98,  0.00,100.00 
Overall Percentage, 41.77,  0.31,  0.27,  4.14,  0.09,  0.41, 16.81, 33.27,  0.93,  0.67,  1.33,100.00 
