30 Nelson,Total Party Votes,"HUFFLETT, Paul (ACT New Zealand)","GREEN, John (Conservative)","BAYLY, Adrian James (Democrats for Social Credit)","ROBERTSON, Colin (Green Party)","STREET, Maryan (Labour Party)","OSMASTON, Richard (Money Free Party)","SMITH, Nick (National Party)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    151, 29.80,  5.96,  0.00,  6.62, 12.58,  1.32, 43.05,  0.00,  0.66,100.00 
Aotearoa Legalise Cannabis Party,    202,  1.98,  3.47,  3.47, 25.25, 32.67,  7.43, 21.78,  1.98,  1.98,100.00 
Ban1080,    386,  2.33,  8.29,  2.33, 15.03, 26.42,  4.40, 34.46,  4.66,  2.07,100.00 
Conservative,   2094,  0.33, 27.03,  0.19,  1.38,  6.30,  0.29, 63.09,  0.72,  0.67,100.00 
Democrats for Social Credit,     47,  0.00,  4.26, 51.06,  2.13, 12.77,  0.00, 27.66,  2.13,  0.00,100.00 
Focus New Zealand,      6,  0.00, 16.67,  0.00,  0.00, 33.33,  0.00, 50.00,  0.00,  0.00,100.00 
Green Party,   5381,  0.17,  0.93,  0.17, 36.63, 47.85,  0.48, 12.15,  0.54,  1.08,100.00 
Internet MANA,    317,  0.95,  2.52,  2.52, 26.81, 44.48,  5.36, 12.62,  0.32,  4.42,100.00 
Labour Party,   9401,  0.20,  0.72,  0.16,  6.71, 80.10,  0.23, 10.21,  0.77,  0.89,100.00 
Māori Party,    125,  0.80,  3.20,  1.60, 15.20, 29.60,  0.80, 44.80,  1.60,  2.40,100.00 
National Party,  16904,  0.36,  1.11,  0.09,  1.79,  3.30,  0.12, 92.11,  0.56,  0.55,100.00 
New Zealand First Party,   2918,  1.20,  6.07,  1.41,  9.39, 40.51,  1.34, 35.88,  3.32,  0.89,100.00 
NZ Independent Coalition,     11,  0.00,  0.00,  0.00,  0.00, 27.27, 18.18, 45.45,  0.00,  9.09,100.00 
The Civilian Party,     12,  0.00,  8.33,  8.33, 16.67,  8.33, 25.00, 33.33,  0.00,  0.00,100.00 
United Future,     95,  0.00,  9.47,  2.11, 11.58, 15.79,  2.11, 56.84,  2.11,  0.00,100.00 
Informal Party Votes,    124,  0.00,  2.42,  0.00,  4.03, 20.97,  1.61, 24.19, 45.97,  0.81,100.00 
Total Party Votes and Percentages,  38174,  0.51,  2.95,  0.36,  9.03, 32.47,  0.46, 52.39,  1.03,  0.80,100.00 
