60 Whanganui,"MURCHIE, Malcolm McGregor (Democrats for Social Credit)","MILNES, John (Green Party)","LUCAS, Debbie (Jim Anderton's Progressive)","PETTIS, Jill (Labour Party)","MAKUTU, Aaron (Mâori Party)","BORROWS, Chester (National Party)","BROUGHAM, Ian (OneNZ Party)","BALL, David (United Future New Zealand)",Informal Candidate Votes,Party Vote Only,Total % 
 99 MP Party,  0.00,  0.00,  0.00, 55.56,  5.56, 33.33,  0.00,  5.56,  0.00,  0.00,100.00 
ACT New Zealand,  0.34,  0.34,  1.01,  8.45,  1.01, 84.12,  1.01,  2.03,  1.35,  0.34,100.00 
Alliance,  6.45,  9.68,  6.45, 58.06,  0.00, 16.13,  0.00,  3.23,  0.00,  0.00,100.00 
Aotearoa Legalise Cannabis Party,  0.00, 29.41,  0.00, 27.94,  1.47, 23.53,  2.94,  2.94,  1.47, 10.29,100.00 
Christian Heritage NZ,  3.23,  3.23,  1.61, 17.74,  1.61, 46.77,  0.00, 17.74,  4.84,  3.23,100.00 
Democrats for Social Credit, 64.71,  1.47,  1.47, 19.12,  0.00, 11.76,  1.47,  0.00,  0.00,  0.00,100.00 
Destiny New Zealand,  1.77,  2.13,  2.13,  8.87,  7.80, 46.81,  0.71, 17.73, 10.64,  1.42,100.00 
Direct Democracy Party, 16.67, 16.67,  0.00, 16.67, 16.67, 16.67,  0.00,  0.00, 16.67,  0.00,100.00 
Green Party,  0.61, 27.42,  0.27, 57.03,  1.98, 10.30,  0.34,  0.41,  0.75,  0.89,100.00 
Jim Anderton's Progressive,  2.90,  3.13, 22.99, 50.00,  0.89, 16.29,  1.12,  0.89,  1.56,  0.22,100.00 
Labour Party,  0.26,  4.19,  1.06, 84.61,  1.13,  6.55,  0.34,  0.42,  0.58,  0.86,100.00 
Libertarianz,  0.00, 12.50,  6.25, 18.75,  0.00, 50.00,  6.25,  0.00,  6.25,  0.00,100.00 
Mâori Party,  0.38,  3.02,  1.51, 21.13, 55.85,  8.68,  0.00,  0.75,  0.75,  7.92,100.00 
National Party,  0.06,  0.78,  0.23,  2.97,  0.11, 93.53,  0.42,  0.83,  0.60,  0.48,100.00 
New Zealand Family Rights Protection Party, 28.57,  0.00, 14.29,  0.00, 14.29, 28.57,  0.00,  0.00, 14.29,  0.00,100.00 
New Zealand First Party,  1.78,  2.38,  2.79, 26.73,  2.29, 54.74,  3.30,  2.33,  3.16,  0.50,100.00 
OneNZ Party,  0.00,  0.00,  0.00, 15.38,  0.00, 53.85, 30.77,  0.00,  0.00,  0.00,100.00 
The Republic of New Zealand Party,  0.00,  0.00, 14.29, 14.29,  0.00, 28.57, 28.57, 14.29,  0.00,  0.00,100.00 
United Future New Zealand,  1.24,  0.68,  1.24, 15.71,  0.34, 56.61,  0.34, 22.71,  0.79,  0.34,100.00 
Informal Party Votes,  2.08,  1.39,  2.08, 24.31,  1.39,  9.03,  1.39,  0.00, 57.64,  0.69,100.00 
Overall Percentage,  0.53,  3.57,  1.13, 41.03,  1.31, 48.36,  0.65,  1.53,  1.15,  0.73,100.00 
