58 Waitaki,Total Party Votes,"FRASER, John (ACT New Zealand)","MacRITCHIE, Norman (Alliance)","VAN WIEREN, Hessel (Democrats for Social Credit)","GUY, Simon (Direct Democracy Party)","BRIGGS, Oliver (Green Party)","MAIN, Claire (Jim Anderton's Progressive)","PARKER, David (Labour Party)","DEAN, Jacqui (National Party)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,   1432,  9.08,  0.00,  0.07,  0.70,  0.98,  0.21,  2.86, 85.06,  0.49,  0.56,100.00 
Alliance,     53,  0.00, 22.64,  1.89,  0.00,  1.89,  3.77, 35.85, 28.30,  5.66,  0.00,100.00 
Aotearoa Legalise Cannabis Party,    173,  3.47,  1.16,  2.89,  0.00, 23.12,  1.73, 27.17, 30.64,  5.20,  4.62,100.00 
Democrats for Social Credit,     44,  0.00,  0.00, 68.18,  2.27,  0.00,  2.27, 13.64, 13.64,  0.00,  0.00,100.00 
Family Party,     87,  6.90,  3.45,  1.15,  3.45,  4.60,  6.90, 13.79, 54.02,  5.75,  0.00,100.00 
Green Party,   2787,  0.18,  0.22,  0.14,  0.18, 30.03,  0.39, 51.06, 15.79,  0.61,  1.40,100.00 
Jim Anderton's Progressive,    382,  0.79,  2.88,  0.52,  0.52,  2.36, 30.63, 38.22, 23.30,  0.79,  0.00,100.00 
Kiwi Party,    180,  4.44,  0.00,  2.22,  0.56,  3.89,  3.89, 14.44, 63.89,  5.00,  1.67,100.00 
Labour Party,  11960,  0.29,  0.23,  0.18,  0.07,  5.79,  0.74, 81.13, 10.18,  0.61,  0.78,100.00 
Libertarianz,     15, 33.33,  0.00,  6.67,  6.67,  6.67,  0.00, 13.33, 26.67,  0.00,  6.67,100.00 
Maori Party,    199,  2.01,  0.50,  1.01,  0.50, 17.09,  3.02, 31.66, 39.70,  1.01,  3.52,100.00 
National Party,  20426,  1.36,  0.04,  0.08,  0.12,  0.85,  0.13,  1.02, 95.58,  0.42,  0.41,100.00 
New Zealand First Party,   1447,  1.59,  1.17,  2.07,  0.55,  3.52,  3.59, 52.73, 31.51,  2.90,  0.35,100.00 
New Zealand Pacific Party,     14,  7.14,  0.00,  7.14,  0.00,  0.00,  7.14, 64.29, 14.29,  0.00,  0.00,100.00 
RAM - Residents Action Movement,      1,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00,  0.00,  0.00,100.00 
The Bill and Ben Party,    263,  3.42,  1.14,  3.80,  0.76, 12.17,  0.76, 26.62, 45.25,  3.42,  2.66,100.00 
The Republic of New Zealand Party,      5,  0.00,  0.00,  0.00,  0.00, 20.00, 20.00, 20.00, 40.00,  0.00,  0.00,100.00 
United Future,    280,  0.36,  0.71,  3.21,  0.36,  4.29,  1.43,  8.93, 76.79,  3.57,  0.36,100.00 
Workers Party,     15,  0.00,  0.00,  6.67, 13.33,  6.67,  6.67, 20.00, 33.33,  0.00, 13.33,100.00 
Informal Party Votes,    185,  1.62,  0.00,  0.54,  0.00,  3.24,  0.00, 22.70, 23.24, 47.03,  1.62,100.00 
Total Party Votes and Percentages,  39948,  1.29,  0.23,  0.35,  0.18,  4.80,  0.83, 31.57, 59.20,  0.90,  0.65,100.00 
