40 Palmerston North,"O'HALLORAN, Lawrence (Green Party)","PATCHETT, Dawn (Jim Anderton's Progressive)","MAHAREY, Steven (Labour Party)","PLIMMER, Malcolm (National Party)","ODERING, Graham (New Zealand First Party)","PEDERSEN, Garry (United Future New Zealand)","CHATHA, Arshad (Independent)",Informal Candidate Votes,Party Vote Only,Total % 
 99 MP Party, 10.00, 10.00, 20.00, 30.00, 10.00,  0.00, 10.00, 10.00,  0.00,100.00 
ACT New Zealand,  2.11,  0.35, 20.35, 68.42,  2.11,  1.75,  2.46,  2.11,  0.35,100.00 
Alliance, 14.29, 21.43, 42.86, 21.43,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
Aotearoa Legalise Cannabis Party, 33.90,  0.00, 32.20, 15.25,  8.47,  0.00,  5.08,  1.69,  3.39,100.00 
Christian Heritage NZ,  4.08,  0.00, 42.86, 26.53,  6.12, 18.37,  0.00,  2.04,  0.00,100.00 
Democrats for Social Credit, 16.67,  0.00, 50.00, 33.33,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
Destiny New Zealand,  0.86,  1.72, 16.38, 30.17,  2.59, 29.31,  6.90,  9.48,  2.59,100.00 
Direct Democracy Party,  0.00,  0.00,  0.00, 20.00, 40.00,  0.00,  0.00, 20.00, 20.00,100.00 
Green Party, 21.41,  0.66, 70.42,  3.92,  0.61,  0.38,  1.04,  0.61,  0.95,100.00 
Jim Anderton's Progressive,  2.70, 21.62, 59.19, 11.08,  1.35,  1.62,  1.08,  1.08,  0.27,100.00 
Labour Party,  3.49,  0.70, 89.62,  2.84,  0.76,  0.33,  0.39,  0.57,  1.31,100.00 
Libertarianz, 11.11,  5.56, 16.67, 38.89,  0.00,  0.00,  5.56, 22.22,  0.00,100.00 
Mâori Party, 12.42,  1.86, 61.49,  5.59,  6.83,  4.35,  0.62,  1.24,  5.59,100.00 
National Party,  0.66,  0.17, 11.71, 83.20,  1.22,  1.48,  0.23,  0.59,  0.75,100.00 
New Zealand Family Rights Protection Party,  0.00, 50.00, 50.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
New Zealand First Party,  1.20,  0.90, 29.53, 32.34, 32.10,  1.73,  0.54,  1.14,  0.54,100.00 
OneNZ Party,  0.00,  0.00, 14.29, 71.43, 14.29,  0.00,  0.00,  0.00,  0.00,100.00 
The Republic of New Zealand Party,  0.00, 25.00, 25.00, 25.00, 25.00,  0.00,  0.00,  0.00,  0.00,100.00 
United Future New Zealand,  1.12,  0.65, 25.77, 42.48,  0.75, 28.10,  0.65,  0.19,  0.28,100.00 
Informal Party Votes,  0.95,  0.00, 29.52,  7.62,  0.00,  2.86,  0.00, 55.24,  3.81,100.00 
Overall Percentage,  3.49,  0.77, 52.86, 36.02,  2.61,  1.92,  0.45,  0.86,  1.01,100.00 
