42 Rangitata,Total Party Votes,"CORBETT, Tom (ACT New Zealand)","VITALI, Oliver (Conservative)","GIBSON, Steven (Labour Party)","GOODHEW, Jo (National Party)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    165, 30.91,  1.21, 10.30, 54.55,  1.82,  1.21,100.00 
Aotearoa Legalise Cannabis Party,    217,  6.91,  8.76, 41.94, 35.94,  4.15,  2.30,100.00 
Ban1080,     84,  8.33,  8.33, 25.00, 53.57,  4.76,  0.00,100.00 
Conservative,   1580,  0.76, 46.01,  6.08, 44.30,  2.47,  0.38,100.00 
Democrats for Social Credit,     24,  4.17, 16.67, 16.67, 33.33, 29.17,  0.00,100.00 
Focus New Zealand,      9, 11.11, 44.44,  0.00, 44.44,  0.00,  0.00,100.00 
Green Party,   2715,  3.09,  5.16, 47.85, 34.00,  8.73,  1.18,100.00 
Internet MANA,    142,  7.04,  6.34, 60.56, 16.90,  5.63,  3.52,100.00 
Labour Party,   8064,  1.08,  1.84, 78.42, 13.73,  4.08,  0.86,100.00 
Māori Party,     94,  3.19,  3.19, 32.98, 50.00,  6.38,  4.26,100.00 
National Party,  20108,  0.50,  1.07,  1.09, 95.81,  0.94,  0.59,100.00 
New Zealand First Party,   2848,  3.20,  9.83, 40.66, 38.24,  7.41,  0.67,100.00 
NZ Independent Coalition,     13, 15.38,  0.00, 23.08, 61.54,  0.00,  0.00,100.00 
The Civilian Party,     20,  0.00, 35.00, 25.00, 35.00,  0.00,  5.00,100.00 
United Future,    114,  2.63,  8.77, 10.53, 71.05,  5.26,  1.75,100.00 
Informal Party Votes,    154,  1.30,  1.30, 28.57, 27.27, 40.91,  0.65,100.00 
Total Party Votes and Percentages,  36351,  1.29,  4.34, 25.89, 64.70,  3.06,  0.73,100.00 
