36 Otaki,Total Party Votes,"McCAFFREY, Peter (ACT New Zealand)","KEBBELL, Jim (Green Party)","PAGANI, Josie (Jim Anderton's Progressive)","HUGHES, Darren (Labour Party)","GUY, Nathan (National Party)","SCOTT, David John (New Zealand First Party)","BROWN, Diane (United Future)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,   1014,  8.48,  0.69,  0.39,  9.27, 79.88,  0.49,  0.20,  0.20,  0.39,100.00 
Alliance,     28,  0.00, 10.71, 17.86, 39.29, 25.00,  3.57,  0.00,  0.00,  3.57,100.00 
Aotearoa Legalise Cannabis Party,    115,  4.35, 20.00,  1.74, 32.17, 33.91,  3.48,  0.00,  0.87,  3.48,100.00 
Democrats for Social Credit,     10,  0.00,  0.00, 10.00, 20.00, 20.00, 50.00,  0.00,  0.00,  0.00,100.00 
Family Party,     84,  1.19,  4.76,  2.38, 17.86, 65.48,  3.57,  3.57,  0.00,  1.19,100.00 
Green Party,   2207,  0.32, 22.29,  0.59, 64.57, 10.69,  0.18,  0.00,  0.32,  1.04,100.00 
Jim Anderton's Progressive,    453,  0.00,  2.21, 19.43, 60.71, 16.11,  0.88,  0.22,  0.44,  0.00,100.00 
Kiwi Party,    165,  0.61,  1.21,  3.03, 15.15, 63.03,  3.64,  9.70,  3.03,  0.61,100.00 
Labour Party,  14472,  0.12,  2.32,  0.43, 90.84,  3.88,  1.10,  0.09,  0.31,  0.91,100.00 
Libertarianz,     12, 16.67,  8.33,  0.00, 41.67, 16.67, 16.67,  0.00,  0.00,  0.00,100.00 
Maori Party,    321,  0.93,  9.03,  1.87, 53.89, 23.36,  4.98,  0.00,  1.87,  4.05,100.00 
National Party,  17534,  0.46,  0.52,  0.08,  5.58, 92.13,  0.31,  0.24,  0.19,  0.49,100.00 
New Zealand First Party,   2153,  0.28,  0.79,  0.51, 53.60, 19.97, 23.41,  0.37,  0.51,  0.56,100.00 
New Zealand Pacific Party,      9,  0.00,  0.00,  0.00, 55.56, 44.44,  0.00,  0.00,  0.00,  0.00,100.00 
RAM - Residents Action Movement,      0,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
The Bill and Ben Party,    177,  0.00,  4.52,  2.26, 40.68, 46.89,  1.69,  0.56,  1.13,  2.26,100.00 
The Republic of New Zealand Party,      5,  0.00,  0.00, 20.00, 40.00, 20.00,  0.00, 20.00,  0.00,  0.00,100.00 
United Future,    397,  0.25,  0.50,  0.76, 20.65, 60.45,  1.01, 14.86,  0.76,  0.76,100.00 
Workers Party,      6,  0.00, 16.67,  0.00, 33.33,  0.00, 16.67, 16.67, 16.67,  0.00,100.00 
Informal Party Votes,    111,  0.00,  1.80,  0.00, 24.32,  8.11,  1.80,  0.90, 61.26,  1.80,100.00 
Total Party Votes and Percentages,  39273,  0.53,  2.62,  0.56, 44.64, 48.09,  1.98,  0.38,  0.47,  0.73,100.00 
