28 Mt Roskill,Total Party Votes,"DAVIE, Paul (Conservative)","COATES, Barry (Green Party)","MINTO, John (Internet MANA)","GOFF, Phil (Labour Party)","PARMAR, Parmjeet (National Party)","BINDRA, Mahesh (New Zealand First Party)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    610,  3.28,  3.44,  0.98, 39.18, 41.97,  1.15,  8.52,  1.48,100.00 
Aotearoa Legalise Cannabis Party,     74,  2.70, 27.03,  1.35, 39.19, 17.57,  5.41,  4.05,  2.70,100.00 
Ban1080,     17, 17.65, 23.53,  5.88, 11.76, 23.53,  0.00, 11.76,  5.88,100.00 
Conservative,   1240, 44.92,  1.61,  0.40, 23.47, 26.29,  1.37,  0.40,  1.53,100.00 
Democrats for Social Credit,     10, 10.00, 20.00, 10.00, 50.00,  0.00, 10.00,  0.00,  0.00,100.00 
Focus New Zealand,      6, 16.67,  0.00,  0.00, 50.00,  0.00,  0.00, 16.67, 16.67,100.00 
Green Party,   3279,  0.49, 27.14,  2.17, 64.47,  2.71,  0.27,  0.43,  2.32,100.00 
Internet MANA,    304,  0.66,  8.88, 31.58, 50.66,  2.63,  1.97,  0.33,  3.29,100.00 
Labour Party,  12086,  0.26,  1.99,  0.48, 92.56,  0.73,  0.57,  0.74,  2.67,100.00 
Māori Party,    132,  4.55,  9.85,  4.55, 55.30, 17.42,  3.03,  0.00,  5.30,100.00 
National Party,  14275,  2.72,  2.44,  0.24, 24.26, 66.86,  0.92,  1.11,  1.46,100.00 
New Zealand First Party,   1805,  3.43,  4.27,  1.05, 53.41,  9.20, 25.65,  0.72,  2.27,100.00 
NZ Independent Coalition,      6,  0.00,  0.00,  0.00, 83.33,  0.00, 16.67,  0.00,  0.00,100.00 
The Civilian Party,      8, 12.50, 37.50, 12.50, 37.50,  0.00,  0.00,  0.00,  0.00,100.00 
United Future,     69,  2.90, 17.39,  1.45, 56.52, 17.39,  2.90,  1.45,  0.00,100.00 
Informal Party Votes,    176,  1.14,  2.27,  0.00, 37.50,  9.66,  1.70, 43.75,  3.98,100.00 
Total Party Votes and Percentages,  34097,  3.21,  4.93,  0.88, 54.66, 30.93,  2.10,  1.22,  2.07,100.00 
