62 Wigram,"EMILE, Tetauru (ACT New Zealand)","DOWIE, Tom (Alliance)","KINGI, Sam (Anti-Capitalist Alliance)","FOLJAMBE, Anton (Direct Democracy Party)","SUGGATE, Richard Malcolm (Green Party)","ANDERTON, Jim (Jim Anderton's Progressive)","MORA, Mike (Labour Party)","LOMAX, Allison (National Party)","ROSWELL, Brian M (New Zealand First Party)","HANSEN, Michael (NZ Econ. Euth.)","ROBERTS, Vanessa (United Future New Zealand)",Informal Candidate Votes,Party Vote Only,Total % 
 99 MP Party,  0.00,  0.00,  0.00, 33.33, 33.33,  0.00,  0.00, 33.33,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
ACT New Zealand, 20.00,  0.39,  0.39,  0.00,  0.78, 19.22,  9.41, 44.31,  1.96,  0.39,  1.57,  0.78,  0.78,100.00 
Alliance,  0.00, 18.18,  5.45,  0.00,  3.64, 52.73,  5.45,  5.45,  1.82,  0.00,  0.00,  1.82,  5.45,100.00 
Aotearoa Legalise Cannabis Party,  0.00,  2.25,  3.37,  0.00, 33.71, 22.47, 10.11,  8.99,  5.62,  2.25,  2.25,  1.12,  7.87,100.00 
Christian Heritage NZ,  0.00,  1.92,  1.92,  0.00,  5.77, 32.69,  7.69,  9.62,  3.85,  0.00, 25.00, 11.54,  0.00,100.00 
Democrats for Social Credit,  0.00,  0.00,  0.00,  0.00,  6.67, 46.67, 13.33,  6.67,  6.67,  0.00, 13.33,  6.67,  0.00,100.00 
Destiny New Zealand,  0.00,  1.79,  0.00,  0.00,  0.89, 33.93, 10.71, 19.64,  2.68,  0.00, 22.32,  6.25,  1.79,100.00 
Direct Democracy Party,  0.00,  0.00, 20.00, 60.00,  0.00,  0.00,  0.00,  0.00,  0.00, 20.00,  0.00,  0.00,  0.00,100.00 
Green Party,  0.10,  0.41,  1.12,  0.00, 25.06, 53.43, 14.69,  2.39,  0.31,  0.25,  0.51,  0.51,  1.22,100.00 
Jim Anderton's Progressive,  0.09,  0.14,  0.00,  0.00,  0.64, 88.45,  7.07,  1.46,  0.78,  0.05,  0.27,  0.37,  0.68,100.00 
Labour Party,  0.25,  0.12,  0.14,  0.04,  4.55, 56.72, 33.83,  0.68,  0.71,  0.06,  0.63,  0.98,  1.31,100.00 
Libertarianz, 22.73,  0.00,  0.00,  0.00,  9.09, 13.64,  4.55, 36.36,  0.00,  0.00,  4.55,  9.09,  0.00,100.00 
Mâori Party,  1.11,  0.00,  1.11,  0.00,  8.89, 37.78, 14.44,  4.44,  8.89,  0.00,  1.11,  4.44, 17.78,100.00 
National Party,  0.88,  0.08,  0.08,  0.05,  1.32, 21.64,  1.95, 66.92,  1.51,  0.05,  3.36,  0.98,  1.18,100.00 
New Zealand Family Rights Protection Party, 33.33,  0.00, 16.67,  0.00,  0.00, 33.33,  0.00,  0.00, 16.67,  0.00,  0.00,  0.00,  0.00,100.00 
New Zealand First Party,  0.25,  0.38,  0.19,  0.19,  1.08, 38.43,  6.15, 12.94, 36.84,  0.19,  1.01,  1.40,  0.95,100.00 
OneNZ Party,  0.00,  0.00,  0.00,  0.00,  0.00, 50.00,  0.00, 25.00, 25.00,  0.00,  0.00,  0.00,  0.00,100.00 
The Republic of New Zealand Party,  0.00,  0.00,  0.00,  0.00,  0.00, 50.00, 25.00,  0.00,  0.00, 12.50, 12.50,  0.00,  0.00,100.00 
United Future New Zealand,  0.46,  0.00,  0.08,  0.08,  0.38, 39.38,  4.87, 16.68,  0.99,  0.08, 35.87,  0.76,  0.38,100.00 
Informal Party Votes,  0.41,  0.14,  0.27,  0.14,  0.69, 37.64,  4.95,  1.79,  0.41,  0.00,  0.14, 52.88,  0.55,100.00 
Overall Percentage,  0.59,  0.18,  0.20,  0.06,  4.20, 46.05, 18.49, 21.39,  2.63,  0.08,  2.85,  2.08,  1.21,100.00 
