12 Epsom,Total Party Votes,"HIDE, Rodney (ACT New Zealand)","LOCKE, Keith (Green Party)","BISHOP, Andrena (Human Rights Party)","HADEN, Grace (Kiwi Party)","SUTTON, Kate (Labour Party)","WORTH, Richard (National Party)","COPELAND, Rafe (RAM - Residents Action Movement)","TUCK, Janet (United Future)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,   2389, 89.03,  0.46,  0.00,  0.13,  0.33,  9.04,  0.00,  0.21,  0.21,  0.59,100.00 
Alliance,     13,  7.69,  0.00, 23.08,  0.00, 30.77, 30.77,  7.69,  0.00,  0.00,  0.00,100.00 
Aotearoa Legalise Cannabis Party,     70, 34.29, 25.71,  2.86,  0.00, 15.71,  8.57,  2.86,  0.00,  2.86,  7.14,100.00 
Democrats for Social Credit,      6,  0.00, 33.33,  0.00,  0.00,  0.00,  0.00, 33.33,  0.00, 16.67, 16.67,100.00 
Family Party,     67, 38.81,  4.48,  1.49,  5.97,  2.99, 34.33,  1.49,  4.48,  2.99,  2.99,100.00 
Green Party,   2662, 16.45, 42.45,  0.26,  0.00, 19.91, 18.33,  0.38,  0.26,  0.30,  1.65,100.00 
Jim Anderton's Progressive,    133, 21.05, 23.31,  3.01,  0.00, 30.83, 12.03,  3.01,  4.51,  0.75,  1.50,100.00 
Kiwi Party,     80, 35.00,  3.75,  1.25, 28.75,  3.75, 20.00,  1.25,  0.00,  2.50,  3.75,100.00 
Labour Party,   7711, 15.86, 15.07,  0.22,  0.26, 53.11, 11.40,  0.26,  0.26,  1.06,  2.50,100.00 
Libertarianz,     19, 57.89, 10.53,  5.26,  0.00,  5.26, 21.05,  0.00,  0.00,  0.00,  0.00,100.00 
Maori Party,    222, 32.88, 20.72,  1.35,  1.80, 17.57, 15.32,  0.90,  1.80,  1.80,  5.86,100.00 
National Party,  24030, 69.89,  1.25,  0.10,  0.15,  0.71, 26.15,  0.07,  0.20,  0.32,  1.17,100.00 
New Zealand First Party,    557, 21.90,  8.26,  0.18,  3.23, 29.80, 29.62,  0.54,  2.33,  2.15,  1.97,100.00 
New Zealand Pacific Party,     10, 20.00,  0.00,  0.00,  0.00, 40.00, 30.00,  0.00,  0.00, 10.00,  0.00,100.00 
RAM - Residents Action Movement,     27, 33.33,  3.70,  3.70,  0.00,  7.41, 11.11, 37.04,  3.70,  0.00,  0.00,100.00 
The Bill and Ben Party,    120, 48.33, 12.50,  1.67,  1.67, 14.17, 15.00,  1.67,  1.67,  0.83,  2.50,100.00 
The Republic of New Zealand Party,      2,100.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
United Future,    258, 46.90,  3.88,  0.39,  0.78,  4.26, 20.16,  0.39, 21.32,  0.00,  1.94,100.00 
Workers Party,     13,  7.69, 23.08,  0.00,  0.00, 46.15,  0.00, 15.38,  0.00,  7.69,  0.00,100.00 
Informal Party Votes,     96, 14.58,  3.13,  0.00,  1.04,  2.08, 10.42,  1.04,  0.00, 62.50,  5.21,100.00 
Total Party Votes and Percentages,  38485, 54.83,  7.24,  0.18,  0.30, 13.28, 21.36,  0.21,  0.42,  0.67,  1.51,100.00 
