30 New Lynn,Total Party Votes,"STEINIJANS, Barbara (ACT New Zealand)","DAVIDSON, Sean (Aotearoa Legalise Cannabis Party)","BAILEY, Ivan (Conservative Party)","TOMS, Saffron (Green Party)","CUNLIFFE, David (Labour Party)","GROSER, Tim (National Party)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    334, 28.44,  0.90,  1.50,  1.80, 14.07, 49.70,  2.40,  1.20,100.00 
Alliance,     16,  6.25,  6.25,  6.25,  6.25, 50.00,  0.00, 18.75,  6.25,100.00 
Aotearoa Legalise Cannabis Party,    149,  0.67, 60.40,  0.00,  6.71, 19.46,  9.40,  0.67,  2.68,100.00 
Conservative Party,    871,  0.34,  0.34, 47.99,  2.07, 17.45, 28.82,  2.53,  0.46,100.00 
Democrats for Social Credit,     10,  0.00,  0.00, 20.00, 30.00, 30.00, 20.00,  0.00,  0.00,100.00 
Green Party,   4094,  0.05,  1.27,  0.46, 30.53, 60.21,  5.69,  0.44,  1.34,100.00 
Labour Party,  12462,  0.22,  0.51,  0.38,  3.76, 89.67,  0.71,  2.46,  2.30,100.00 
Libertarianz,     29, 10.34, 17.24,  6.90, 20.69, 13.79, 24.14,  6.90,  0.00,100.00 
Mana,    151,  1.32,  3.97,  0.66, 17.88, 58.94,  3.31,  2.65, 11.26,100.00 
Māori Party,    148,  0.00,  2.70,  4.05, 12.16, 35.81, 31.76,  1.35, 12.16,100.00 
National Party,  13211,  0.86,  0.61,  1.32,  3.00, 11.16, 80.27,  1.90,  0.88,100.00 
New Zealand First Party,   2081,  0.67,  1.73,  6.15,  7.11, 63.86, 13.94,  5.53,  1.01,100.00 
United Future,    129,  0.78,  0.00,  9.30,  6.20, 37.21, 41.86,  3.88,  0.78,100.00 
Informal Party Votes,    295,  0.68,  0.00,  1.36,  1.69, 41.36, 15.93, 36.27,  2.71,100.00 
Total Party Votes and Percentages,  33980,  0.78,  1.01,  2.41,  6.96, 50.03, 34.75,  2.48,  1.58,100.00 
