43 Rakaia,"DAVIDSON, Brian (ACT New Zealand)","MATHERS, Mojo (Green Party)","MAIN, Philippa (Jim Anderton's Progressive)","MILNE, Tony Robert (Labour Party)","CONNELL, Brian (National Party)","BARR, Graeme (United Future New Zealand)",Informal Candidate Votes,Party Vote Only,Total % 
 99 MP Party,  7.69, 11.54, 11.54, 30.77, 26.92,  0.00, 11.54,  0.00,100.00 
ACT New Zealand, 22.78,  1.15,  0.23,  4.14, 69.39,  1.15,  0.69,  0.46,100.00 
Alliance,  9.38, 12.50, 28.13, 21.88, 28.13,  0.00,  0.00,  0.00,100.00 
Aotearoa Legalise Cannabis Party,  7.46, 32.84,  5.97, 29.85, 16.42,  4.48,  2.99,  0.00,100.00 
Christian Heritage NZ,  5.88,  5.88,  5.88,  8.82, 55.88, 14.71,  2.94,  0.00,100.00 
Democrats for Social Credit,  0.00, 11.11,  0.00, 22.22, 11.11, 11.11, 33.33, 11.11,100.00 
Destiny New Zealand,  9.68,  0.00,  0.00, 11.29, 48.39, 17.74,  9.68,  3.23,100.00 
Direct Democracy Party,  0.00,100.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
Green Party,  1.75, 40.88,  1.54, 42.08, 10.24,  0.98,  1.12,  1.40,100.00 
Jim Anderton's Progressive,  2.93,  2.24, 36.32, 34.25, 20.65,  2.41,  1.03,  0.17,100.00 
Labour Party,  1.82,  6.48,  2.77, 78.42,  7.29,  1.63,  0.84,  0.76,100.00 
Libertarianz,  9.09, 18.18,  0.00,  9.09, 54.55,  0.00,  9.09,  0.00,100.00 
Mâori Party,  1.96, 21.57,  3.92, 25.49, 23.53, 13.73,  1.96,  7.84,100.00 
National Party,  3.15,  0.82,  0.43,  1.15, 91.54,  1.99,  0.44,  0.48,100.00 
New Zealand Family Rights Protection Party, 30.00,  0.00, 10.00, 40.00, 20.00,  0.00,  0.00,  0.00,100.00 
New Zealand First Party,  5.81,  3.67,  6.79, 21.25, 51.64,  6.08,  3.89,  0.88,100.00 
OneNZ Party,  0.00, 14.29,  0.00,  7.14, 50.00, 21.43,  7.14,  0.00,100.00 
The Republic of New Zealand Party, 25.00, 12.50,  0.00,  0.00, 25.00, 25.00, 12.50,  0.00,100.00 
United Future New Zealand,  1.94,  1.26,  1.60,  6.99, 51.22, 35.72,  0.93,  0.34,100.00 
Informal Party Votes,  4.27,  0.85,  0.00, 16.24, 16.24,  0.00, 61.54,  0.85,100.00 
Overall Percentage,  3.28,  4.42,  2.16, 28.48, 56.82,  3.18,  1.04,  0.63,100.00 
